 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Amazonas
Período:2018
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"130014 Apuí";0;0;0;0;1;0;1
"130020 Atalaia do Norte";0;0;0;1;0;0;1
"130030 Autazes";0;0;0;4;0;0;4
"130050 Barreirinha";0;0;0;1;0;0;1
"130060 Benjamin Constant";0;0;0;3;0;0;3
"130063 Beruri";0;0;0;1;0;0;1
"130068 Boa Vista do Ramos";0;0;0;1;0;0;1
"130080 Borba";0;0;0;3;0;0;3
"130083 Caapiranga";0;0;0;1;0;0;1
"130110 Careiro";0;0;0;2;0;0;2
"130115 Careiro da Várzea";0;0;0;1;0;0;1
"130120 Coari";0;0;0;5;0;0;5
"130130 Codajás";0;0;0;1;0;0;1
"130140 Eirunepé";0;0;0;2;0;0;2
"130170 Humaitá";1;0;0;4;0;0;5
"130185 Iranduba";0;0;0;7;0;0;7
"130190 Itacoatiara";1;0;0;10;0;0;11
"130200 Itapiranga";0;0;0;3;0;0;3
"130210 Japurá";0;0;0;1;0;0;1
"130230 Jutaí";0;0;0;2;0;0;2
"130240 Lábrea";0;0;0;1;1;0;2
"130250 Manacapuru";0;0;0;4;0;1;5
"130255 Manaquiri";0;0;0;1;0;0;1
"130260 Manaus";126;9;9;907;9;24;1084
"130290 Maués";0;0;0;4;0;0;4
"130300 Nhamundá";0;0;0;3;0;0;3
"130310 Nova Olinda do Norte";0;0;0;2;0;0;2
"130320 Novo Airão";0;0;0;1;0;0;1
"130330 Novo Aripuanã";0;0;0;1;0;0;1
"130340 Parintins";0;0;8;17;1;0;26
"130353 Presidente Figueiredo";0;0;0;2;0;0;2
"130356 Rio Preto da Eva";0;0;0;1;0;0;1
"130380 São Gabriel da Cachoeira";0;0;0;1;1;0;2
"130390 São Paulo de Olivença";0;0;0;1;0;0;1
"130406 Tabatinga";0;0;0;3;0;0;3
"130410 Tapauá";0;0;0;1;0;0;1
"130420 Tefé";0;0;0;3;0;0;3
"130423 Tonantins";0;0;0;3;0;0;3
"130440 Urucurituba";0;0;0;3;0;0;3
"Total";128;9;17;1012;13;25;1204
