 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Amazonas
Período:2018
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"130014 Apuí";0;1;0;1
"130020 Atalaia do Norte";1;0;0;1
"130030 Autazes";3;1;0;4
"130050 Barreirinha";0;1;0;1
"130060 Benjamin Constant";2;1;0;3
"130063 Beruri";0;1;0;1
"130068 Boa Vista do Ramos";1;0;0;1
"130080 Borba";3;0;0;3
"130083 Caapiranga";0;1;0;1
"130110 Careiro";2;0;0;2
"130115 Careiro da Várzea";1;0;0;1
"130120 Coari";4;1;0;5
"130130 Codajás";0;1;0;1
"130140 Eirunepé";2;0;0;2
"130170 Humaitá";4;1;0;5
"130185 Iranduba";4;3;0;7
"130190 Itacoatiara";10;1;0;11
"130200 Itapiranga";2;1;0;3
"130210 Japurá";1;0;0;1
"130230 Jutaí";0;2;0;2
"130240 Lábrea";1;1;0;2
"130250 Manacapuru";4;1;0;5
"130255 Manaquiri";1;0;0;1
"130260 Manaus";817;266;1;1084
"130290 Maués";3;1;0;4
"130300 Nhamundá";2;1;0;3
"130310 Nova Olinda do Norte";1;1;0;2
"130320 Novo Airão";0;1;0;1
"130330 Novo Aripuanã";1;0;0;1
"130340 Parintins";23;3;0;26
"130353 Presidente Figueiredo";2;0;0;2
"130356 Rio Preto da Eva";1;0;0;1
"130380 São Gabriel da Cachoeira";2;0;0;2
"130390 São Paulo de Olivença";1;0;0;1
"130406 Tabatinga";2;1;0;3
"130410 Tapauá";0;1;0;1
"130420 Tefé";2;1;0;3
"130423 Tonantins";2;1;0;3
"130440 Urucurituba";1;2;0;3
"Total";906;297;1;1204
