 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Amazonas
Período:2019
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"130010 Anori";0;1;0;1;0;0;0;0;0;2
"130020 Atalaia do Norte";0;0;1;0;0;0;0;0;0;1
"130030 Autazes";1;0;0;0;0;0;0;0;0;1
"130060 Benjamin Constant";1;0;0;1;0;0;0;0;0;2
"130063 Beruri";0;0;0;0;0;1;0;0;0;1
"130080 Borba";2;0;0;2;1;0;0;0;0;5
"130083 Caapiranga";0;0;1;0;0;0;0;0;0;1
"130100 Carauari";0;0;0;1;0;1;1;0;0;3
"130110 Careiro";0;1;0;1;0;0;1;0;0;3
"130115 Careiro da Várzea";0;0;0;2;0;0;0;0;0;2
"130120 Coari";0;0;0;0;0;1;4;1;0;6
"130160 Fonte Boa";0;0;0;0;0;0;1;0;0;1
"130165 Guajará";0;0;0;0;0;1;0;0;1;2
"130170 Humaitá";0;0;0;3;0;0;1;0;1;5
"130185 Iranduba";0;0;0;4;0;0;1;0;0;5
"130190 Itacoatiara";2;6;2;3;2;1;5;1;0;22
"130210 Japurá";0;0;0;1;0;0;0;0;0;1
"130250 Manacapuru";0;2;0;0;0;1;4;3;0;10
"130260 Manaus";10;62;25;136;63;120;275;65;66;822
"130270 Manicoré";0;0;0;1;1;0;1;0;0;3
"130280 Maraã";0;0;0;0;0;1;0;0;0;1
"130290 Maués";0;0;0;0;0;1;1;0;0;2
"130300 Nhamundá";0;0;0;1;0;0;0;0;0;1
"130310 Nova Olinda do Norte";0;1;0;0;0;1;0;0;1;3
"130340 Parintins";0;1;0;2;1;0;2;0;0;6
"130353 Presidente Figueiredo";0;0;1;1;0;0;1;0;0;3
"130380 São Gabriel da Cachoeira";0;0;0;0;0;0;1;0;0;1
"130390 São Paulo de Olivença";0;0;0;0;0;1;0;0;0;1
"130406 Tabatinga";0;2;0;7;1;2;7;1;1;21
"130420 Tefé";0;1;0;3;1;0;4;0;1;10
"130423 Tonantins";0;0;0;0;0;0;0;0;1;1
"130426 Uarini";0;0;0;0;0;0;0;1;0;1
"Total";16;77;30;170;70;132;310;72;72;949
