 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Amazonas
Período:2021
"Município (Res)";"2021";"Total"
"130002 Alvarães";1;1
"130006 Amaturá";1;1
"130010 Anori";1;1
"130014 Apuí";1;1
"130020 Atalaia do Norte";5;5
"130030 Autazes";3;3
"130040 Barcelos";1;1
"130060 Benjamin Constant";6;6
"130068 Boa Vista do Ramos";1;1
"130080 Borba";4;4
"130100 Carauari";1;1
"130110 Careiro";3;3
"130115 Careiro da Várzea";2;2
"130120 Coari";13;13
"130130 Codajás";1;1
"130160 Fonte Boa";1;1
"130170 Humaitá";3;3
"130185 Iranduba";2;2
"130190 Itacoatiara";35;35
"130200 Itapiranga";1;1
"130240 Lábrea";1;1
"130250 Manacapuru";5;5
"130260 Manaus";1538;1538
"130280 Maraã";1;1
"130290 Maués";4;4
"130310 Nova Olinda do Norte";2;2
"130320 Novo Airão";3;3
"130340 Parintins";46;46
"130353 Presidente Figueiredo";2;2
"130356 Rio Preto da Eva";2;2
"130370 Santo Antônio do Içá";1;1
"130380 São Gabriel da Cachoeira";2;2
"130390 São Paulo de Olivença";1;1
"130395 São Sebastião do Uatumã";1;1
"130406 Tabatinga";16;16
"130410 Tapauá";1;1
"130420 Tefé";3;3
"130430 Urucará";1;1
"130440 Urucurituba";1;1
"Total";1717;1717
