 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Amazonas
Período:2022
"Município (Res)";"Masculino";"Feminino";"Total"
"130002 Alvarães";1;0;1
"130014 Apuí";0;1;1
"130020 Atalaia do Norte";2;0;2
"130030 Autazes";1;1;2
"130060 Benjamin Constant";6;1;7
"130068 Boa Vista do Ramos";1;2;3
"130080 Borba";2;0;2
"130083 Caapiranga";0;1;1
"130090 Canutama";1;0;1
"130110 Careiro";3;2;5
"130120 Coari";5;4;9
"130130 Codajás";1;0;1
"130150 Envira";1;0;1
"130160 Fonte Boa";1;0;1
"130170 Humaitá";2;1;3
"130185 Iranduba";5;2;7
"130190 Itacoatiara";21;13;34
"130195 Itamarati";0;1;1
"130220 Juruá";1;0;1
"130250 Manacapuru";9;4;13
"130255 Manaquiri";1;1;2
"130260 Manaus";895;277;1172
"130290 Maués";5;1;6
"130310 Nova Olinda do Norte";7;0;7
"130320 Novo Airão";1;0;1
"130330 Novo Aripuanã";2;1;3
"130340 Parintins";36;9;45
"130353 Presidente Figueiredo";4;1;5
"130356 Rio Preto da Eva";1;0;1
"130360 Santa Isabel do Rio Negro";1;0;1
"130380 São Gabriel da Cachoeira";1;1;2
"130390 São Paulo de Olivença";1;0;1
"130400 Silves";1;0;1
"130406 Tabatinga";15;7;22
"130420 Tefé";12;4;16
"130423 Tonantins";1;1;2
"130426 Uarini";1;3;4
"130430 Urucará";3;1;4
"Total";1051;340;1391
