 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Amazonas
Período:2025
"Município (Res)";"2025";"Total"
"130002 Alvarães";1;1
"130006 Amaturá";1;1
"130030 Autazes";3;3
"130050 Barreirinha";6;6
"130060 Benjamin Constant";1;1
"130063 Beruri";1;1
"130080 Borba";5;5
"130090 Canutama";1;1
"130100 Carauari";1;1
"130110 Careiro";3;3
"130120 Coari";28;28
"130140 Eirunepé";1;1
"130170 Humaitá";7;7
"130185 Iranduba";11;11
"130190 Itacoatiara";28;28
"130200 Itapiranga";2;2
"130210 Japurá";1;1
"130250 Manacapuru";20;20
"130255 Manaquiri";1;1
"130260 Manaus";864;864
"130290 Maués";1;1
"130300 Nhamundá";1;1
"130310 Nova Olinda do Norte";3;3
"130320 Novo Airão";3;3
"130330 Novo Aripuanã";1;1
"130340 Parintins";52;52
"130353 Presidente Figueiredo";6;6
"130356 Rio Preto da Eva";2;2
"130370 Santo Antônio do Içá";4;4
"130380 São Gabriel da Cachoeira";1;1
"130390 São Paulo de Olivença";3;3
"130406 Tabatinga";21;21
"130420 Tefé";19;19
"Total";1103;1103
