 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Amazonas
Período:2025
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"130002 Alvarães";0;0;1;0;0;0;0;0;0;0;0;0;1
"130006 Amaturá";0;0;0;0;0;1;0;0;0;0;0;0;1
"130030 Autazes";0;0;0;0;0;2;0;0;0;1;0;0;3
"130050 Barreirinha";0;0;0;0;0;3;2;0;1;0;0;0;6
"130060 Benjamin Constant";0;0;0;0;0;1;0;0;0;0;0;0;1
"130063 Beruri";0;0;0;0;0;0;0;1;0;0;0;0;1
"130080 Borba";0;0;0;1;0;0;0;1;2;1;0;0;5
"130090 Canutama";0;0;0;0;0;1;0;0;0;0;0;0;1
"130100 Carauari";0;0;0;0;0;0;0;1;0;0;0;0;1
"130110 Careiro";0;0;0;0;0;0;2;0;0;1;0;0;3
"130120 Coari";0;0;0;0;0;8;11;6;1;2;0;0;28
"130140 Eirunepé";0;0;0;0;0;0;1;0;0;0;0;0;1
"130170 Humaitá";0;0;0;0;0;3;1;2;0;1;0;0;7
"130185 Iranduba";0;0;0;0;1;2;3;3;1;0;1;0;11
"130190 Itacoatiara";0;0;0;0;0;13;5;4;2;4;0;0;28
"130200 Itapiranga";0;0;0;0;0;0;1;1;0;0;0;0;2
"130210 Japurá";0;0;0;0;0;1;0;0;0;0;0;0;1
"130250 Manacapuru";0;0;0;0;2;5;7;4;2;0;0;0;20
"130255 Manaquiri";0;0;0;0;0;1;0;0;0;0;0;0;1
"130260 Manaus";0;3;0;1;44;290;247;166;69;36;7;1;864
"130290 Maués";0;0;0;0;0;1;0;0;0;0;0;0;1
"130300 Nhamundá";0;0;0;0;0;1;0;0;0;0;0;0;1
"130310 Nova Olinda do Norte";0;0;0;0;0;0;2;0;1;0;0;0;3
"130320 Novo Airão";0;0;0;0;0;1;0;1;1;0;0;0;3
"130330 Novo Aripuanã";0;0;0;0;0;0;0;1;0;0;0;0;1
"130340 Parintins";0;0;0;0;5;23;10;8;4;2;0;0;52
"130353 Presidente Figueiredo";0;0;0;0;1;1;2;0;1;1;0;0;6
"130356 Rio Preto da Eva";0;0;0;0;0;1;1;0;0;0;0;0;2
"130370 Santo Antônio do Içá";0;0;0;0;2;1;1;0;0;0;0;0;4
"130380 São Gabriel da Cachoeira";0;0;0;0;0;0;0;1;0;0;0;0;1
"130390 São Paulo de Olivença";0;0;0;0;0;0;1;2;0;0;0;0;3
"130406 Tabatinga";0;0;0;0;1;5;9;4;2;0;0;0;21
"130420 Tefé";1;0;0;0;0;8;5;3;1;1;0;0;19
"Total";1;3;1;2;56;373;311;209;88;50;8;1;1103
