 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Amazonas
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"130002 Alvarães";0;0;0;1;0;0;1
"130006 Amaturá";0;0;0;0;1;0;1
"130030 Autazes";0;0;0;3;0;0;3
"130050 Barreirinha";0;0;0;6;0;0;6
"130060 Benjamin Constant";0;0;0;0;1;0;1
"130063 Beruri";0;0;0;1;0;0;1
"130080 Borba";0;0;0;3;2;0;5
"130090 Canutama";0;0;0;1;0;0;1
"130100 Carauari";0;0;0;1;0;0;1
"130110 Careiro";0;0;0;3;0;0;3
"130120 Coari";4;1;0;23;0;0;28
"130140 Eirunepé";0;0;0;1;0;0;1
"130170 Humaitá";2;2;0;3;0;0;7
"130185 Iranduba";0;2;1;8;0;0;11
"130190 Itacoatiara";1;2;0;25;0;0;28
"130200 Itapiranga";0;0;0;2;0;0;2
"130210 Japurá";0;0;0;1;0;0;1
"130250 Manacapuru";0;0;0;20;0;0;20
"130255 Manaquiri";0;0;1;0;0;0;1
"130260 Manaus";106;11;15;716;12;4;864
"130290 Maués";0;0;0;1;0;0;1
"130300 Nhamundá";0;0;0;1;0;0;1
"130310 Nova Olinda do Norte";0;0;0;3;0;0;3
"130320 Novo Airão";0;0;0;3;0;0;3
"130330 Novo Aripuanã";0;0;0;1;0;0;1
"130340 Parintins";0;0;3;49;0;0;52
"130353 Presidente Figueiredo";2;0;0;4;0;0;6
"130356 Rio Preto da Eva";0;0;0;2;0;0;2
"130370 Santo Antônio do Içá";0;0;0;1;3;0;4
"130380 São Gabriel da Cachoeira";0;1;0;0;0;0;1
"130390 São Paulo de Olivença";0;0;0;2;1;0;3
"130406 Tabatinga";1;0;0;19;1;0;21
"130420 Tefé";1;0;0;18;0;0;19
"Total";117;19;20;922;21;4;1103
