 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Amazonas
Período:2025
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"130002 Alvarães";1;0;0;1
"130006 Amaturá";0;1;0;1
"130030 Autazes";3;0;0;3
"130050 Barreirinha";5;1;0;6
"130060 Benjamin Constant";1;0;0;1
"130063 Beruri";1;0;0;1
"130080 Borba";5;0;0;5
"130090 Canutama";0;1;0;1
"130100 Carauari";0;1;0;1
"130110 Careiro";2;1;0;3
"130120 Coari";17;11;0;28
"130140 Eirunepé";1;0;0;1
"130170 Humaitá";7;0;0;7
"130185 Iranduba";9;2;0;11
"130190 Itacoatiara";18;10;0;28
"130200 Itapiranga";1;1;0;2
"130210 Japurá";1;0;0;1
"130250 Manacapuru";13;7;0;20
"130255 Manaquiri";1;0;0;1
"130260 Manaus";678;185;1;864
"130290 Maués";1;0;0;1
"130300 Nhamundá";1;0;0;1
"130310 Nova Olinda do Norte";3;0;0;3
"130320 Novo Airão";2;1;0;3
"130330 Novo Aripuanã";1;0;0;1
"130340 Parintins";42;10;0;52
"130353 Presidente Figueiredo";4;2;0;6
"130356 Rio Preto da Eva";2;0;0;2
"130370 Santo Antônio do Içá";3;1;0;4
"130380 São Gabriel da Cachoeira";1;0;0;1
"130390 São Paulo de Olivença";2;1;0;3
"130406 Tabatinga";15;6;0;21
"130420 Tefé";9;10;0;19
"Total";850;252;1;1103
