 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Amapá
Período:2017
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"160010 Amapá";0;0;0;0;0;1;0;0;0;1
"160020 Calçoene";0;0;0;0;1;0;0;0;0;1
"160023 Ferreira Gomes";0;1;0;0;0;0;0;1;0;2
"160027 Laranjal do Jari";1;2;0;0;1;3;0;0;0;7
"160030 Macapá";4;27;4;25;8;27;50;19;21;185
"160040 Mazagão";0;0;0;1;0;0;0;0;0;1
"160050 Oiapoque";0;0;0;0;0;0;1;0;0;1
"160053 Porto Grande";1;0;0;0;0;0;0;0;0;1
"160060 Santana";0;0;0;3;1;1;1;1;0;7
"160080 Vitória do Jari";0;1;0;0;0;0;0;0;0;1
"Total";6;31;4;29;11;32;52;21;21;207
