 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Amapá
Período:2019
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"Total"
"160010 Amapá";0;0;0;0;0;0;1;0;1
"160023 Ferreira Gomes";0;0;0;0;0;1;0;0;1
"160027 Laranjal do Jari";0;0;0;0;2;3;3;0;8
"160030 Macapá";0;1;3;58;45;36;17;7;167
"160050 Oiapoque";0;0;1;2;0;2;1;0;6
"160015 Pedra Branca do Amapari";0;0;0;0;0;1;0;0;1
"160053 Porto Grande";0;0;1;0;3;0;0;0;4
"160055 Pracuúba";0;0;0;1;0;0;0;0;1
"160060 Santana";1;0;1;2;3;1;0;0;8
"160080 Vitória do Jari";0;0;0;0;0;0;1;0;1
"Total";1;1;6;63;53;44;23;7;198
