 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Amapá
Período:2021
"Município (Res)";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"160020 Calçoene";0;0;0;0;1;0;0;0;0;1
"160025 Itaubal";1;0;0;0;1;0;0;0;0;2
"160027 Laranjal do Jari";0;0;0;4;2;4;2;0;0;12
"160030 Macapá";5;1;6;61;56;34;15;4;6;188
"160040 Mazagão";0;0;0;1;0;0;0;0;0;1
"160050 Oiapoque";0;0;1;1;6;2;2;0;0;12
"160055 Pracuúba";0;0;0;1;0;0;0;0;0;1
"160060 Santana";0;0;0;1;2;2;0;0;0;5
"160005 Serra do Navio";0;0;0;1;0;0;0;0;0;1
"Total";6;1;7;70;68;42;19;4;6;223
