 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Amapá
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"160020 Calçoene";1;0;0;0;0;0;1
"160025 Itaubal";0;1;0;1;0;0;2
"160027 Laranjal do Jari";1;1;0;10;0;0;12
"160030 Macapá";34;23;1;128;0;2;188
"160040 Mazagão";0;0;0;1;0;0;1
"160050 Oiapoque";2;3;0;7;0;0;12
"160055 Pracuúba";0;0;0;0;1;0;1
"160060 Santana";1;0;0;4;0;0;5
"160005 Serra do Navio";0;0;0;1;0;0;1
"Total";39;28;1;152;1;2;223
