 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Amapá
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"160010 Amapá";0;0;0;0;0;2;2;1;2;7
"160020 Calçoene";0;0;0;1;0;0;0;0;0;1
"160027 Laranjal do Jari";0;0;0;0;1;3;2;0;1;7
"160030 Macapá";1;5;5;16;8;21;40;8;30;134
"160040 Mazagão";0;1;0;0;0;0;0;0;0;1
"160050 Oiapoque";0;0;2;1;0;0;1;0;2;6
"160015 Pedra Branca do Amapari";0;0;0;1;0;0;1;0;0;2
"160053 Porto Grande";0;0;0;1;1;1;1;0;0;4
"160060 Santana";1;1;0;0;2;0;6;1;2;13
"160070 Tartarugalzinho";0;0;0;0;0;0;1;1;0;2
"Total";2;7;7;20;12;27;54;11;37;177
