 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Amapá
Período:2025
"Município (Res)";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"160010 Amapá";0;0;0;2;5;0;0;0;0;7
"160020 Calçoene";0;0;0;0;1;0;0;0;0;1
"160027 Laranjal do Jari";0;0;1;2;0;1;3;0;0;7
"160030 Macapá";1;1;3;52;39;34;21;2;1;154
"160040 Mazagão";0;0;0;1;0;0;0;0;0;1
"160050 Oiapoque";0;0;0;0;3;2;3;0;0;8
"160015 Pedra Branca do Amapari";0;0;0;1;0;1;0;0;0;2
"160053 Porto Grande";0;0;0;1;2;1;0;0;0;4
"160060 Santana";0;0;0;7;6;2;1;1;0;17
"160070 Tartarugalzinho";0;0;0;0;2;0;0;0;0;2
"Total";1;1;4;66;58;41;28;3;1;203
