 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Pará
Período:2016
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"150010 Abaetetuba";1;8;3;3;1;4;6;1;0;27
"150040 Alenquer";0;0;1;3;0;1;0;1;0;6
"150060 Altamira";1;5;3;4;6;0;1;0;0;20
"150080 Ananindeua";2;10;2;30;4;21;13;4;10;96
"150085 Anapu";0;1;3;1;0;0;0;0;0;5
"150090 Augusto Corrêa";2;2;0;0;1;0;0;0;0;5
"150095 Aurora do Pará";0;0;0;0;1;0;0;0;0;1
"150120 Baião";0;0;0;1;0;1;0;0;0;2
"150130 Barcarena";1;1;2;6;1;1;2;0;0;14
"150140 Belém";14;84;37;183;51;120;161;31;88;769
"150145 Belterra";0;0;0;1;0;1;0;0;0;2
"150150 Benevides";0;1;0;3;1;3;1;0;0;9
"150170 Bragança";1;16;4;17;3;2;3;0;1;47
"150172 Brasil Novo";0;0;1;1;0;0;0;0;0;2
"150178 Breu Branco";2;0;0;0;0;0;0;0;0;2
"150180 Breves";0;0;1;0;0;0;0;0;0;1
"150190 Bujaru";0;1;0;1;0;1;0;0;0;3
"150210 Cametá";0;0;0;1;0;0;1;0;0;2
"150215 Canaã dos Carajás";1;1;0;1;2;2;4;1;1;13
"150220 Capanema";0;0;0;4;0;0;0;0;0;4
"150230 Capitão Poço";0;1;0;0;0;0;0;0;0;1
"150240 Castanhal";3;21;5;21;5;7;14;0;7;83
"150250 Chaves";0;1;0;0;0;0;0;0;0;1
"150260 Colares";0;0;0;1;0;0;0;0;0;1
"150277 Curionópolis";1;0;0;1;1;0;0;0;0;3
"150280 Curralinho";0;1;0;0;0;0;0;0;0;1
"150290 Curuçá";0;0;1;1;0;0;0;0;0;2
"150293 Dom Eliseu";0;0;2;0;0;0;0;0;0;2
"150295 Eldorado dos Carajás";0;0;0;1;0;0;0;0;0;1
"150309 Goianésia do Pará";0;0;0;1;0;0;0;0;0;1
"150320 Igarapé-Açu";0;1;0;0;0;1;0;0;0;2
"150330 Igarapé-Miri";0;2;0;1;0;1;0;0;0;4
"150345 Ipixuna do Pará";0;0;1;0;0;0;1;0;0;2
"150360 Itaituba";2;5;4;13;1;1;1;1;3;31
"150370 Itupiranga";1;0;0;0;0;1;0;0;0;2
"150375 Jacareacanga";0;0;0;2;0;0;0;0;0;2
"150380 Jacundá";0;0;2;2;0;0;1;0;0;5
"150390 Juruti";0;0;0;2;0;2;1;0;0;5
"150405 Mãe do Rio";0;0;0;3;0;0;0;0;0;3
"150420 Marabá";6;7;16;13;5;12;3;0;2;64
"150430 Maracanã";0;1;0;1;0;0;0;0;0;2
"150442 Marituba";0;1;1;1;1;2;4;1;0;11
"150445 Medicilândia";0;2;0;2;0;0;0;0;0;4
"150460 Mocajuba";0;0;0;1;0;0;0;0;0;1
"150470 Moju";0;1;0;2;0;2;1;0;0;6
"150480 Monte Alegre";0;0;0;1;0;0;0;0;0;1
"150490 Muaná";1;0;0;0;0;0;0;0;1;2
"150497 Nova Ipixuna";0;0;2;0;0;0;0;0;0;2
"150500 Nova Timboteua";0;0;0;0;0;0;1;0;0;1
"150503 Novo Progresso";0;2;0;1;0;0;0;0;0;3
"150506 Novo Repartimento";0;1;0;4;0;0;0;1;0;6
"150510 Óbidos";0;0;0;4;0;1;0;0;0;5
"150530 Oriximiná";0;0;0;5;0;1;1;0;1;8
"150540 Ourém";0;0;0;3;0;0;0;0;0;3
"150548 Pacajá";0;0;0;0;1;0;0;0;0;1
"150549 Palestina do Pará";0;0;0;0;0;0;0;1;0;1
"150550 Paragominas";4;7;1;5;0;1;0;0;0;18
"150553 Parauapebas";7;10;5;22;9;8;21;0;4;86
"150570 Ponta de Pedras";0;3;0;2;0;0;1;0;0;6
"150600 Prainha";0;0;0;1;0;0;0;0;0;1
"150610 Primavera";0;1;1;0;0;0;0;0;0;2
"150611 Quatipuru";0;0;0;1;0;0;0;0;0;1
"150613 Redenção";1;0;2;5;1;2;4;1;2;18
"150618 Rondon do Pará";0;2;0;0;0;1;0;0;0;3
"150619 Rurópolis";0;0;0;1;0;0;0;0;0;1
"150620 Salinópolis";0;1;0;2;1;2;6;0;1;13
"150630 Salvaterra";0;1;0;1;0;0;0;0;0;2
"150635 Santa Bárbara do Pará";0;1;0;0;0;1;0;0;0;2
"150650 Santa Isabel do Pará";0;2;0;2;1;0;1;0;0;6
"150660 Santa Maria do Pará";0;0;1;0;0;2;1;0;0;4
"150670 Santana do Araguaia";0;1;0;0;0;0;0;0;0;1
"150680 Santarém";1;10;0;75;13;13;14;0;14;140
"150700 Santo Antônio do Tauá";0;0;0;0;0;1;1;0;0;2
"150710 São Caetano de Odivelas";0;1;0;0;0;1;0;0;0;2
"150715 São Domingos do Araguaia";0;0;2;0;0;0;0;0;0;2
"150720 São Domingos do Capim";0;0;1;0;0;0;0;0;0;1
"150730 São Félix do Xingu";0;3;0;0;1;0;0;0;0;4
"150740 São Francisco do Pará";1;0;0;1;0;0;0;0;0;2
"150745 São Geraldo do Araguaia";1;0;0;2;0;0;0;0;0;3
"150746 São João da Ponta";0;0;1;0;0;0;0;0;0;1
"150747 São João de Pirabas";0;1;0;0;0;0;1;0;0;2
"150750 São João do Araguaia";0;0;0;0;1;0;0;0;0;1
"150760 São Miguel do Guamá";0;1;0;1;0;0;1;0;1;4
"150775 Sapucaia";0;1;0;1;0;0;0;0;0;2
"150780 Senador José Porfírio";1;0;0;0;0;0;0;0;0;1
"150790 Soure";0;1;0;0;0;0;1;0;1;3
"150795 Tailândia";2;5;1;5;2;2;1;0;0;18
"150797 Terra Santa";0;0;0;3;0;0;0;0;0;3
"150800 Tomé-Açu";0;5;1;1;0;0;0;0;0;7
"150803 Tracuateua";1;2;0;0;1;0;0;0;0;4
"150805 Trairão";0;0;0;0;1;0;0;0;0;1
"150810 Tucuruí";5;10;1;15;1;6;6;0;0;44
"150812 Ulianópolis";2;2;0;0;0;0;0;0;0;4
"150815 Uruará";0;1;0;0;0;0;0;0;0;1
"150820 Vigia";0;2;1;0;0;3;0;0;2;8
"150830 Viseu";0;1;0;0;0;0;0;0;0;1
"150840 Xinguara";0;1;0;0;1;0;2;0;1;5
"Total";65;253;109;493;118;231;281;43;140;1733
