 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Pará
Período:2017
"Município (Res)";"2017";"Total"
"150010 Abaetetuba";21;21
"150013 Abel Figueiredo";1;1
"150020 Acará";2;2
"150030 Afuá";1;1
"150040 Alenquer";2;2
"150060 Altamira";24;24
"150080 Ananindeua";186;186
"150085 Anapu";1;1
"150090 Augusto Corrêa";3;3
"150095 Aurora do Pará";1;1
"150120 Baião";3;3
"150130 Barcarena";29;29
"150140 Belém";880;880
"150145 Belterra";1;1
"150150 Benevides";12;12
"150157 Bom Jesus do Tocantins";1;1
"150170 Bragança";35;35
"150178 Breu Branco";2;2
"150180 Breves";3;3
"150190 Bujaru";7;7
"150195 Cachoeira do Piriá";1;1
"150210 Cametá";2;2
"150215 Canaã dos Carajás";16;16
"150220 Capanema";11;11
"150230 Capitão Poço";3;3
"150240 Castanhal";70;70
"150260 Colares";1;1
"150270 Conceição do Araguaia";2;2
"150275 Concórdia do Pará";1;1
"150277 Curionópolis";3;3
"150285 Curuá";3;3
"150290 Curuçá";2;2
"150293 Dom Eliseu";3;3
"150295 Eldorado dos Carajás";2;2
"150304 Floresta do Araguaia";2;2
"150307 Garrafão do Norte";1;1
"150309 Goianésia do Pará";2;2
"150320 Igarapé-Açu";2;2
"150345 Ipixuna do Pará";5;5
"150350 Irituia";1;1
"150360 Itaituba";31;31
"150370 Itupiranga";3;3
"150375 Jacareacanga";6;6
"150380 Jacundá";2;2
"150390 Juruti";5;5
"150405 Mãe do Rio";4;4
"150420 Marabá";80;80
"150430 Maracanã";2;2
"150440 Marapanim";1;1
"150442 Marituba";21;21
"150445 Medicilândia";1;1
"150470 Moju";2;2
"150480 Monte Alegre";7;7
"150490 Muaná";1;1
"150497 Nova Ipixuna";1;1
"150503 Novo Progresso";2;2
"150506 Novo Repartimento";1;1
"150510 Óbidos";8;8
"150520 Oeiras do Pará";2;2
"150530 Oriximiná";9;9
"150540 Ourém";2;2
"150543 Ourilândia do Norte";1;1
"150548 Pacajá";6;6
"150550 Paragominas";24;24
"150553 Parauapebas";58;58
"150555 Pau D'Arco";1;1
"150560 Peixe-Boi";1;1
"150570 Ponta de Pedras";3;3
"150580 Portel";1;1
"150590 Porto de Moz";1;1
"150600 Prainha";1;1
"150611 Quatipuru";3;3
"150613 Redenção";37;37
"150616 Rio Maria";3;3
"150618 Rondon do Pará";1;1
"150619 Rurópolis";3;3
"150620 Salinópolis";12;12
"150630 Salvaterra";7;7
"150635 Santa Bárbara do Pará";1;1
"150650 Santa Isabel do Pará";1;1
"150658 Santa Maria das Barreiras";1;1
"150660 Santa Maria do Pará";1;1
"150670 Santana do Araguaia";2;2
"150680 Santarém";130;130
"150700 Santo Antônio do Tauá";1;1
"150730 São Félix do Xingu";8;8
"150740 São Francisco do Pará";1;1
"150747 São João de Pirabas";4;4
"150750 São João do Araguaia";3;3
"150760 São Miguel do Guamá";3;3
"150770 São Sebastião da Boa Vista";1;1
"150775 Sapucaia";1;1
"150795 Tailândia";14;14
"150797 Terra Santa";1;1
"150800 Tomé-Açu";4;4
"150803 Tracuateua";1;1
"150805 Trairão";3;3
"150808 Tucumã";3;3
"150810 Tucuruí";54;54
"150812 Ulianópolis";2;2
"150815 Uruará";4;4
"150820 Vigia";4;4
"150830 Viseu";2;2
"150835 Vitória do Xingu";1;1
"150840 Xinguara";4;4
"150000 Município ignorado - PA";1;1
"Total";1958;1958
