 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Pará
Período:2017
"Município (Res)";"Masculino";"Feminino";"Total"
"150010 Abaetetuba";14;7;21
"150013 Abel Figueiredo";1;0;1
"150020 Acará";2;0;2
"150030 Afuá";1;0;1
"150040 Alenquer";1;1;2
"150060 Altamira";20;4;24
"150080 Ananindeua";137;49;186
"150085 Anapu";0;1;1
"150090 Augusto Corrêa";3;0;3
"150095 Aurora do Pará";1;0;1
"150120 Baião";2;1;3
"150130 Barcarena";18;11;29
"150140 Belém";607;273;880
"150145 Belterra";1;0;1
"150150 Benevides";9;3;12
"150157 Bom Jesus do Tocantins";1;0;1
"150170 Bragança";24;11;35
"150178 Breu Branco";2;0;2
"150180 Breves";1;2;3
"150190 Bujaru";1;6;7
"150195 Cachoeira do Piriá";1;0;1
"150210 Cametá";2;0;2
"150215 Canaã dos Carajás";11;5;16
"150220 Capanema";9;2;11
"150230 Capitão Poço";2;1;3
"150240 Castanhal";47;23;70
"150260 Colares";1;0;1
"150270 Conceição do Araguaia";2;0;2
"150275 Concórdia do Pará";1;0;1
"150277 Curionópolis";3;0;3
"150285 Curuá";1;2;3
"150290 Curuçá";2;0;2
"150293 Dom Eliseu";2;1;3
"150295 Eldorado dos Carajás";1;1;2
"150304 Floresta do Araguaia";2;0;2
"150307 Garrafão do Norte";1;0;1
"150309 Goianésia do Pará";1;1;2
"150320 Igarapé-Açu";1;1;2
"150345 Ipixuna do Pará";4;1;5
"150350 Irituia";1;0;1
"150360 Itaituba";16;15;31
"150370 Itupiranga";2;1;3
"150375 Jacareacanga";4;2;6
"150380 Jacundá";1;1;2
"150390 Juruti";3;2;5
"150405 Mãe do Rio";4;0;4
"150420 Marabá";51;29;80
"150430 Maracanã";1;1;2
"150440 Marapanim";1;0;1
"150442 Marituba";16;5;21
"150445 Medicilândia";1;0;1
"150470 Moju";2;0;2
"150480 Monte Alegre";4;3;7
"150490 Muaná";0;1;1
"150497 Nova Ipixuna";0;1;1
"150503 Novo Progresso";1;1;2
"150506 Novo Repartimento";1;0;1
"150510 Óbidos";4;4;8
"150520 Oeiras do Pará";2;0;2
"150530 Oriximiná";5;4;9
"150540 Ourém";2;0;2
"150543 Ourilândia do Norte";1;0;1
"150548 Pacajá";1;5;6
"150550 Paragominas";13;11;24
"150553 Parauapebas";38;20;58
"150555 Pau D'Arco";1;0;1
"150560 Peixe-Boi";1;0;1
"150570 Ponta de Pedras";1;2;3
"150580 Portel";0;1;1
"150590 Porto de Moz";1;0;1
"150600 Prainha";0;1;1
"150611 Quatipuru";2;1;3
"150613 Redenção";16;21;37
"150616 Rio Maria";1;2;3
"150618 Rondon do Pará";0;1;1
"150619 Rurópolis";0;3;3
"150620 Salinópolis";5;7;12
"150630 Salvaterra";4;3;7
"150635 Santa Bárbara do Pará";0;1;1
"150650 Santa Isabel do Pará";1;0;1
"150658 Santa Maria das Barreiras";0;1;1
"150660 Santa Maria do Pará";1;0;1
"150670 Santana do Araguaia";0;2;2
"150680 Santarém";91;39;130
"150700 Santo Antônio do Tauá";1;0;1
"150730 São Félix do Xingu";6;2;8
"150740 São Francisco do Pará";1;0;1
"150747 São João de Pirabas";2;2;4
"150750 São João do Araguaia";2;1;3
"150760 São Miguel do Guamá";3;0;3
"150770 São Sebastião da Boa Vista";0;1;1
"150775 Sapucaia";1;0;1
"150795 Tailândia";8;6;14
"150797 Terra Santa";0;1;1
"150800 Tomé-Açu";2;2;4
"150803 Tracuateua";1;0;1
"150805 Trairão";1;2;3
"150808 Tucumã";2;1;3
"150810 Tucuruí";28;26;54
"150812 Ulianópolis";1;1;2
"150815 Uruará";2;2;4
"150820 Vigia";2;2;4
"150830 Viseu";1;1;2
"150835 Vitória do Xingu";0;1;1
"150840 Xinguara";3;1;4
"150000 Município ignorado - PA";0;1;1
"Total";1307;651;1958
