 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Pará
Período:2021
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"150010 Abaetetuba";1;2;0;18;0;0;21
"150013 Abel Figueiredo";0;0;0;1;0;0;1
"150020 Acará";0;0;0;2;0;0;2
"150030 Afuá";0;0;0;1;0;0;1
"150034 Água Azul do Norte";0;0;0;1;0;0;1
"150050 Almeirim";1;1;0;0;0;0;2
"150060 Altamira";1;2;0;18;0;0;21
"150070 Anajás";0;0;0;1;0;0;1
"150080 Ananindeua";24;10;0;202;0;1;237
"150085 Anapu";0;1;0;1;0;0;2
"150110 Bagre";0;0;0;1;0;0;1
"150120 Baião";0;0;0;2;0;0;2
"150130 Barcarena";3;1;0;22;0;0;26
"150140 Belém";116;37;9;685;1;7;855
"150150 Benevides";1;2;0;3;0;1;7
"150157 Bom Jesus do Tocantins";0;1;0;1;0;0;2
"150170 Bragança";1;0;0;23;0;1;25
"150172 Brasil Novo";0;0;0;3;0;0;3
"150178 Breu Branco";2;0;0;8;0;0;10
"150180 Breves";0;0;0;12;0;0;12
"150190 Bujaru";1;0;0;5;0;1;7
"150200 Cachoeira do Arari";0;0;0;1;0;0;1
"150195 Cachoeira do Piriá";1;0;0;1;0;0;2
"150210 Cametá";0;3;0;2;0;0;5
"150215 Canaã dos Carajás";1;2;0;18;0;0;21
"150220 Capanema";5;0;1;34;0;0;40
"150230 Capitão Poço";0;0;0;1;0;0;1
"150240 Castanhal";11;3;1;99;0;1;115
"150250 Chaves";0;1;0;0;0;0;1
"150260 Colares";0;0;0;2;0;0;2
"150270 Conceição do Araguaia";0;0;0;1;0;0;1
"150277 Curionópolis";0;0;0;8;0;0;8
"150280 Curralinho";0;0;0;2;0;0;2
"150290 Curuçá";1;0;0;2;0;0;3
"150293 Dom Eliseu";0;0;0;5;0;0;5
"150295 Eldorado dos Carajás";1;0;0;3;0;0;4
"150300 Faro";0;0;0;2;0;0;2
"150304 Floresta do Araguaia";0;0;0;1;0;0;1
"150307 Garrafão do Norte";0;0;0;1;0;0;1
"150309 Goianésia do Pará";0;0;0;2;0;0;2
"150310 Gurupá";0;0;0;2;0;0;2
"150330 Igarapé-Miri";2;0;0;3;0;0;5
"150345 Ipixuna do Pará";1;0;0;2;0;0;3
"150360 Itaituba";4;3;0;13;0;0;20
"150370 Itupiranga";0;0;0;2;0;0;2
"150375 Jacareacanga";0;0;0;2;0;0;2
"150380 Jacundá";0;0;0;2;0;0;2
"150390 Juruti";0;0;0;2;0;0;2
"150405 Mãe do Rio";0;0;0;5;0;0;5
"150420 Marabá";11;3;0;125;0;0;139
"150430 Maracanã";0;0;0;1;0;0;1
"150440 Marapanim";0;0;0;4;0;0;4
"150442 Marituba";6;3;0;26;0;0;35
"150445 Medicilândia";0;0;0;1;0;0;1
"150470 Moju";0;0;0;7;0;0;7
"150480 Monte Alegre";1;0;0;1;0;0;2
"150490 Muaná";1;0;0;1;0;0;2
"150495 Nova Esperança do Piriá";0;0;0;1;0;0;1
"150497 Nova Ipixuna";0;0;0;2;0;0;2
"150503 Novo Progresso";0;1;0;2;0;0;3
"150506 Novo Repartimento";0;0;0;7;0;0;7
"150520 Oeiras do Pará";0;0;0;2;0;0;2
"150530 Oriximiná";0;0;0;6;0;0;6
"150540 Ourém";0;0;0;2;0;0;2
"150548 Pacajá";0;1;0;2;0;0;3
"150550 Paragominas";3;2;0;23;0;0;28
"150553 Parauapebas";13;6;0;60;0;0;79
"150560 Peixe-Boi";0;0;0;1;0;0;1
"150563 Piçarra";0;0;0;1;0;0;1
"150565 Placas";0;1;0;0;0;0;1
"150570 Ponta de Pedras";0;0;0;5;0;0;5
"150580 Portel";0;0;0;4;0;0;4
"150590 Porto de Moz";1;0;0;0;0;0;1
"150611 Quatipuru";0;0;0;3;0;0;3
"150613 Redenção";1;0;0;20;0;1;22
"150618 Rondon do Pará";0;0;0;2;0;0;2
"150619 Rurópolis";0;1;0;0;0;0;1
"150620 Salinópolis";0;0;0;21;1;0;22
"150630 Salvaterra";0;0;0;5;0;0;5
"150635 Santa Bárbara do Pará";2;0;0;1;0;0;3
"150640 Santa Cruz do Arari";0;0;0;1;0;0;1
"150650 Santa Isabel do Pará";1;0;0;11;0;1;13
"150660 Santa Maria do Pará";1;0;0;0;0;0;1
"150670 Santana do Araguaia";1;0;0;4;0;0;5
"150680 Santarém";6;1;0;138;1;0;146
"150720 São Domingos do Capim";0;0;0;1;0;0;1
"150730 São Félix do Xingu";1;1;0;7;0;0;9
"150745 São Geraldo do Araguaia";0;0;0;2;0;0;2
"150747 São João de Pirabas";0;0;0;2;0;0;2
"150750 São João do Araguaia";0;0;0;2;0;0;2
"150760 São Miguel do Guamá";0;0;0;2;0;0;2
"150770 São Sebastião da Boa Vista";0;0;0;1;0;0;1
"150780 Senador José Porfírio";0;0;0;1;0;0;1
"150790 Soure";0;1;0;3;0;0;4
"150795 Tailândia";0;0;3;17;0;0;20
"150797 Terra Santa";0;0;0;3;0;0;3
"150800 Tomé-Açu";1;1;0;5;0;0;7
"150810 Tucuruí";9;4;1;36;0;0;50
"150812 Ulianópolis";0;0;0;1;0;0;1
"150815 Uruará";0;0;0;3;0;0;3
"150820 Vigia";2;0;0;6;0;0;8
"Total";239;95;15;1810;3;14;2176
