 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Pará
Período:2024
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"150010 Abaetetuba";0;0;0;0;0;2;3;6;5;2;0;0;18
"150020 Acará";0;0;0;0;0;0;1;0;2;0;0;0;3
"150030 Afuá";0;0;0;0;0;1;0;0;0;0;0;0;1
"150034 Água Azul do Norte";0;0;0;0;0;0;1;0;0;0;0;0;1
"150040 Alenquer";0;0;0;0;0;1;1;0;0;0;1;0;3
"150050 Almeirim";0;0;0;0;0;0;0;1;0;0;0;0;1
"150060 Altamira";0;0;0;0;0;9;10;8;7;1;0;0;35
"150080 Ananindeua";0;0;1;0;2;37;68;44;23;7;1;0;183
"150085 Anapu";0;0;0;0;0;0;2;0;0;0;0;0;2
"150090 Augusto Corrêa";0;0;0;0;0;1;0;0;0;1;0;0;2
"150120 Baião";0;0;0;0;0;0;2;1;0;0;0;0;3
"150130 Barcarena";0;0;0;0;1;9;9;8;0;2;0;0;29
"150140 Belém";1;2;1;1;20;186;235;197;100;50;9;2;804
"150145 Belterra";0;0;0;0;0;1;1;0;0;0;0;0;2
"150150 Benevides";0;1;0;0;0;6;1;1;1;0;0;0;10
"150157 Bom Jesus do Tocantins";0;0;0;0;0;0;0;0;2;0;0;0;2
"150170 Bragança";0;0;0;0;1;21;16;11;8;8;3;0;68
"150172 Brasil Novo";0;0;0;0;1;1;0;0;0;0;0;0;2
"150178 Breu Branco";0;0;0;0;0;1;3;0;0;0;0;0;4
"150180 Breves";0;0;0;0;0;14;5;2;0;0;0;0;21
"150190 Bujaru";0;0;0;0;0;0;4;1;2;0;0;0;7
"150200 Cachoeira do Arari";0;0;0;0;0;0;0;1;0;0;0;0;1
"150210 Cametá";0;0;0;0;0;0;7;2;2;0;0;0;11
"150215 Canaã dos Carajás";0;0;0;0;0;6;8;6;2;1;0;0;23
"150220 Capanema";0;0;0;0;1;5;14;9;6;3;0;0;38
"150230 Capitão Poço";0;0;0;0;0;0;0;0;0;1;0;0;1
"150240 Castanhal";0;0;0;1;2;33;33;34;22;11;2;0;138
"150250 Chaves";0;0;0;0;0;0;1;0;0;0;0;0;1
"150260 Colares";0;0;0;0;0;0;0;1;0;0;0;0;1
"150270 Conceição do Araguaia";0;0;0;0;0;1;0;2;0;0;0;0;3
"150277 Curionópolis";0;0;0;0;0;1;1;3;1;0;0;0;6
"150285 Curuá";0;0;0;0;0;0;1;0;0;0;0;0;1
"150290 Curuçá";0;0;0;0;0;1;3;5;1;1;0;0;11
"150293 Dom Eliseu";1;0;0;0;0;0;0;0;0;0;0;0;1
"150295 Eldorado dos Carajás";0;0;0;0;1;1;0;1;0;0;0;0;3
"150304 Floresta do Araguaia";0;0;0;0;0;0;1;0;0;0;0;0;1
"150307 Garrafão do Norte";0;0;0;0;0;1;3;1;2;0;0;0;7
"150309 Goianésia do Pará";0;0;0;0;0;0;0;1;1;0;0;0;2
"150320 Igarapé-Açu";0;0;0;0;0;0;1;0;1;0;0;0;2
"150330 Igarapé-Miri";0;0;0;0;0;0;0;1;0;0;0;0;1
"150345 Ipixuna do Pará";0;0;0;0;0;0;0;0;0;0;1;0;1
"150350 Irituia";0;0;0;0;0;1;0;1;0;0;0;0;2
"150360 Itaituba";0;0;0;0;0;2;5;4;2;1;0;0;14
"150370 Itupiranga";0;0;0;0;0;0;0;1;0;0;0;0;1
"150375 Jacareacanga";0;0;0;0;0;0;0;1;0;0;0;1;2
"150380 Jacundá";0;0;0;0;0;0;0;1;0;0;0;0;1
"150390 Juruti";0;0;0;0;0;0;0;1;0;0;0;0;1
"150400 Limoeiro do Ajuru";0;0;0;0;0;0;1;0;0;0;0;0;1
"150405 Mãe do Rio";0;0;0;0;0;0;0;1;0;0;0;0;1
"150410 Magalhães Barata";0;0;0;0;0;1;1;0;1;0;0;0;3
"150420 Marabá";1;1;0;1;9;31;41;36;22;8;2;0;152
"150430 Maracanã";0;0;1;0;0;1;0;0;0;1;0;0;3
"150440 Marapanim";0;0;0;0;0;0;1;1;1;0;0;0;3
"150442 Marituba";1;0;0;0;0;20;14;15;8;0;1;1;60
"150445 Medicilândia";0;0;0;0;0;0;0;1;0;1;0;0;2
"150460 Mocajuba";0;0;0;0;0;1;0;0;0;0;0;0;1
"150470 Moju";0;0;0;0;0;2;0;5;4;0;0;0;11
"150480 Monte Alegre";0;0;0;0;0;1;1;0;0;0;0;0;2
"150490 Muaná";0;0;0;0;0;1;0;0;0;0;0;0;1
"150497 Nova Ipixuna";0;0;0;0;0;0;1;0;0;0;0;0;1
"150503 Novo Progresso";0;0;0;0;0;0;0;2;0;0;0;0;2
"150506 Novo Repartimento";0;0;0;0;1;2;1;1;2;0;0;0;7
"150510 Óbidos";0;0;0;0;0;2;3;3;0;1;0;0;9
"150520 Oeiras do Pará";0;0;0;0;1;0;0;0;0;0;0;0;1
"150530 Oriximiná";0;0;0;0;0;0;4;2;2;1;0;0;9
"150540 Ourém";0;0;0;0;0;0;1;0;0;0;0;0;1
"150543 Ourilândia do Norte";1;0;0;0;0;0;0;2;0;0;0;0;3
