 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Pará
Período:2024
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"150010 Abaetetuba";0;0;0;18;0;18
"150020 Acará";0;0;0;3;0;3
"150030 Afuá";1;0;0;0;0;1
"150034 Água Azul do Norte";0;0;0;1;0;1
"150040 Alenquer";0;0;1;2;0;3
"150050 Almeirim";0;1;0;0;0;1
"150060 Altamira";4;3;0;26;2;35
"150080 Ananindeua";13;8;0;162;0;183
"150085 Anapu";0;0;0;2;0;2
"150090 Augusto Corrêa";0;0;0;2;0;2
"150120 Baião";0;0;0;3;0;3
"150130 Barcarena";5;0;0;24;0;29
"150140 Belém";140;67;8;587;2;804
"150145 Belterra";0;0;0;2;0;2
"150150 Benevides";2;1;1;6;0;10
"150157 Bom Jesus do Tocantins";0;0;0;2;0;2
"150170 Bragança";3;0;0;65;0;68
"150172 Brasil Novo";0;0;0;2;0;2
"150178 Breu Branco";0;0;0;4;0;4
"150180 Breves";2;0;0;19;0;21
"150190 Bujaru";0;1;0;6;0;7
"150200 Cachoeira do Arari";0;0;0;1;0;1
"150210 Cametá";1;0;0;10;0;11
"150215 Canaã dos Carajás";8;0;0;15;0;23
"150220 Capanema";4;1;0;33;0;38
"150230 Capitão Poço";0;0;0;1;0;1
"150240 Castanhal";5;3;1;128;1;138
"150250 Chaves";0;0;0;1;0;1
"150260 Colares";1;0;0;0;0;1
"150270 Conceição do Araguaia";1;0;0;2;0;3
"150277 Curionópolis";1;0;0;5;0;6
"150285 Curuá";0;0;0;1;0;1
"150290 Curuçá";3;0;0;8;0;11
"150293 Dom Eliseu";0;1;0;0;0;1
"150295 Eldorado dos Carajás";0;0;0;3;0;3
"150304 Floresta do Araguaia";0;1;0;0;0;1
"150307 Garrafão do Norte";0;0;0;7;0;7
"150309 Goianésia do Pará";0;0;0;2;0;2
"150320 Igarapé-Açu";0;0;0;2;0;2
"150330 Igarapé-Miri";0;0;0;1;0;1
"150345 Ipixuna do Pará";0;0;0;1;0;1
"150350 Irituia";0;0;0;2;0;2
"150360 Itaituba";1;0;0;13;0;14
"150370 Itupiranga";0;0;0;1;0;1
"150375 Jacareacanga";0;0;0;2;0;2
"150380 Jacundá";0;0;0;1;0;1
"150390 Juruti";0;0;0;1;0;1
"150400 Limoeiro do Ajuru";0;0;0;1;0;1
"150405 Mãe do Rio";0;0;0;1;0;1
"150410 Magalhães Barata";0;0;0;3;0;3
"150420 Marabá";6;0;0;146;0;152
"150430 Maracanã";0;0;0;3;0;3
"150440 Marapanim";0;0;0;3;0;3
"150442 Marituba";8;5;0;47;0;60
"150445 Medicilândia";1;1;0;0;0;2
"150460 Mocajuba";0;1;0;0;0;1
"150470 Moju";0;0;0;11;0;11
"150480 Monte Alegre";1;0;0;1;0;2
"150490 Muaná";0;0;0;1;0;1
"150497 Nova Ipixuna";0;0;0;1;0;1
"150503 Novo Progresso";0;0;0;2;0;2
"150506 Novo Repartimento";0;0;0;7;0;7
"150510 Óbidos";2;1;0;6;0;9
"150520 Oeiras do Pará";1;0;0;0;0;1
"150530 Oriximiná";0;1;0;8;0;9
"150540 Ourém";0;0;0;1;0;1
"150543 Ourilândia do Norte";0;1;0;1;1;3
"150548 Pacajá";0;0;0;2;0;2
"150549 Palestina do Pará";0;0;0;1;0;1
"150550 Paragominas";3;3;0;29;0;35
"150553 Parauapebas";18;11;1;107;0;137
"150555 Pau D'Arco";0;0;0;1;0;1
"150560 Peixe-Boi";0;0;0;2;0;2
"150570 Ponta de Pedras";1;0;0;3;0;4
"150580 Portel";1;1;0;3;0;5
"150600 Prainha";0;0;0;1;0;1
"150611 Quatipuru";0;0;0;1;0;1
"150613 Redenção";6;1;2;31;0;40
"150616 Rio Maria";0;0;0;1;0;1
"150618 Rondon do Pará";0;0;0;1;0;1
"150619 Rurópolis";2;0;0;2;0;4
"150620 Salinópolis";0;0;0;15;0;15
"150630 Salvaterra";0;0;0;3;0;3
"150635 Santa Bárbara do Pará";0;0;0;1;0;1
"150640 Santa Cruz do Arari";0;0;0;2;0;2
"150650 Santa Isabel do Pará";1;2;0;26;0;29
"150660 Santa Maria do Pará";0;0;0;1;0;1
"150670 Santana do Araguaia";2;2;0;1;0;5
"150680 Santarém";13;4;0;178;3;198
"150700 Santo Antônio do Tauá";0;1;0;1;0;2
"150710 São Caetano de Odivelas";0;0;0;1;0;1
"150730 São Félix do Xingu";0;0;0;4;0;4
"150747 São João de Pirabas";0;0;0;8;0;8
"150760 São Miguel do Guamá";1;0;0;1;0;2
"150790 Soure";0;1;0;8;0;9
"150795 Tailândia";3;1;4;16;0;24
"150796 Terra Alta";0;0;0;1;0;1
"150800 Tomé-Açu";1;0;0;5;0;6
"150805 Trairão";1;0;0;2;0;3
"150808 Tucumã";0;0;0;2;0;2
"150810 Tucuruí";5;5;0;43;0;53
"150812 Ulianópolis";0;1;0;2;0;3
"150815 Uruará";0;0;0;2;0;2
"150820 Vigia";0;0;2;9;0;11
"150830 Viseu";0;0;0;2;0;2
"150835 Vitória do Xingu";0;0;0;1;0;1
"150840 Xinguara";0;0;0;2;0;2
"150000 Município ignorado - PA";0;0;0;1;0;1
"Total";272;130;20;1943;9;2374
