 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Pará
Período:2024
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"150010 Abaetetuba";12;6;0;18
"150020 Acará";0;3;0;3
"150030 Afuá";1;0;0;1
"150034 Água Azul do Norte";0;1;0;1
"150040 Alenquer";3;0;0;3
"150050 Almeirim";1;0;0;1
"150060 Altamira";28;7;0;35
"150080 Ananindeua";133;50;0;183
"150085 Anapu";2;0;0;2
"150090 Augusto Corrêa";2;0;0;2
"150120 Baião";2;1;0;3
"150130 Barcarena";18;11;0;29
"150140 Belém";587;217;0;804
"150145 Belterra";2;0;0;2
"150150 Benevides";7;3;0;10
"150157 Bom Jesus do Tocantins";2;0;0;2
"150170 Bragança";42;26;0;68
"150172 Brasil Novo";1;1;0;2
"150178 Breu Branco";3;1;0;4
"150180 Breves";14;7;0;21
"150190 Bujaru";2;5;0;7
"150200 Cachoeira do Arari";0;1;0;1
"150210 Cametá";6;5;0;11
"150215 Canaã dos Carajás";19;4;0;23
"150220 Capanema";28;10;0;38
"150230 Capitão Poço";0;1;0;1
"150240 Castanhal";101;37;0;138
"150250 Chaves";1;0;0;1
"150260 Colares";0;1;0;1
"150270 Conceição do Araguaia";0;3;0;3
"150277 Curionópolis";4;2;0;6
"150285 Curuá";1;0;0;1
"150290 Curuçá";9;2;0;11
"150293 Dom Eliseu";1;0;0;1
"150295 Eldorado dos Carajás";2;1;0;3
"150304 Floresta do Araguaia";1;0;0;1
"150307 Garrafão do Norte";6;1;0;7
"150309 Goianésia do Pará";1;1;0;2
"150320 Igarapé-Açu";2;0;0;2
"150330 Igarapé-Miri";1;0;0;1
"150345 Ipixuna do Pará";1;0;0;1
"150350 Irituia";1;1;0;2
"150360 Itaituba";10;4;0;14
"150370 Itupiranga";1;0;0;1
"150375 Jacareacanga";2;0;0;2
"150380 Jacundá";0;1;0;1
"150390 Juruti";1;0;0;1
"150400 Limoeiro do Ajuru";1;0;0;1
"150405 Mãe do Rio";1;0;0;1
"150410 Magalhães Barata";1;2;0;3
"150420 Marabá";101;51;0;152
"150430 Maracanã";3;0;0;3
"150440 Marapanim";2;1;0;3
"150442 Marituba";38;22;0;60
"150445 Medicilândia";1;1;0;2
"150460 Mocajuba";1;0;0;1
"150470 Moju";7;4;0;11
"150480 Monte Alegre";2;0;0;2
"150490 Muaná";1;0;0;1
"150497 Nova Ipixuna";0;1;0;1
"150503 Novo Progresso";2;0;0;2
"150506 Novo Repartimento";3;4;0;7
"150510 Óbidos";8;1;0;9
"150520 Oeiras do Pará";1;0;0;1
"150530 Oriximiná";9;0;0;9
"150540 Ourém";0;1;0;1
"150543 Ourilândia do Norte";2;0;1;3
"150548 Pacajá";1;1;0;2
"150549 Palestina do Pará";1;0;0;1
"150550 Paragominas";25;10;0;35
"150553 Parauapebas";91;46;0;137
"150555 Pau D'Arco";1;0;0;1
"150560 Peixe-Boi";2;0;0;2
"150570 Ponta de Pedras";4;0;0;4
"150580 Portel";4;1;0;5
"150600 Prainha";1;0;0;1
"150611 Quatipuru";1;0;0;1
"150613 Redenção";28;12;0;40
"150616 Rio Maria";1;0;0;1
"150618 Rondon do Pará";1;0;0;1
"150619 Rurópolis";3;1;0;4
"150620 Salinópolis";12;3;0;15
"150630 Salvaterra";3;0;0;3
"150635 Santa Bárbara do Pará";1;0;0;1
"150640 Santa Cruz do Arari";1;1;0;2
"150650 Santa Isabel do Pará";19;10;0;29
"150660 Santa Maria do Pará";0;1;0;1
"150670 Santana do Araguaia";2;3;0;5
"150680 Santarém";140;58;0;198
"150700 Santo Antônio do Tauá";2;0;0;2
"150710 São Caetano de Odivelas";1;0;0;1
"150730 São Félix do Xingu";2;2;0;4
"150747 São João de Pirabas";8;0;0;8
"150760 São Miguel do Guamá";2;0;0;2
"150790 Soure";7;2;0;9
"150795 Tailândia";14;10;0;24
"150796 Terra Alta";0;1;0;1
"150800 Tomé-Açu";5;1;0;6
"150805 Trairão";3;0;0;3
"150808 Tucumã";1;1;0;2
"150810 Tucuruí";33;20;0;53
"150812 Ulianópolis";2;1;0;3
"150815 Uruará";1;1;0;2
"150820 Vigia";5;6;0;11
"150830 Viseu";2;0;0;2
"150835 Vitória do Xingu";0;1;0;1
"150840 Xinguara";1;1;0;2
"150000 Município ignorado - PA";1;0;0;1
"Total";1677;696;1;2374
