 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Pará
Período:2025
"Município (Res)";"2025";"Total"
"150010 Abaetetuba";25;25
"150020 Acará";1;1
"150040 Alenquer";1;1
"150050 Almeirim";1;1
"150060 Altamira";55;55
"150080 Ananindeua";111;111
"150085 Anapu";1;1
"150110 Bagre";2;2
"150120 Baião";1;1
"150130 Barcarena";32;32
"150140 Belém";538;538
"150150 Benevides";6;6
"150170 Bragança";43;43
"150180 Breves";13;13
"150195 Cachoeira do Piriá";1;1
"150210 Cametá";9;9
"150215 Canaã dos Carajás";22;22
"150220 Capanema";36;36
"150230 Capitão Poço";1;1
"150240 Castanhal";109;109
"150250 Chaves";1;1
"150260 Colares";1;1
"150275 Concórdia do Pará";1;1
"150277 Curionópolis";1;1
"150290 Curuçá";6;6
"150295 Eldorado dos Carajás";2;2
"150300 Faro";1;1
"150304 Floresta do Araguaia";2;2
"150307 Garrafão do Norte";2;2
"150320 Igarapé-Açu";1;1
"150330 Igarapé-Miri";9;9
"150345 Ipixuna do Pará";3;3
"150350 Irituia";1;1
"150360 Itaituba";1;1
"150370 Itupiranga";1;1
"150375 Jacareacanga";4;4
"150380 Jacundá";1;1
"150390 Juruti";1;1
"150420 Marabá";126;126
"150430 Maracanã";1;1
"150442 Marituba";54;54
"150445 Medicilândia";3;3
"150470 Moju";5;5
"150480 Monte Alegre";1;1
"150490 Muaná";2;2
"150495 Nova Esperança do Piriá";1;1
"150497 Nova Ipixuna";1;1
"150503 Novo Progresso";2;2
"150506 Novo Repartimento";7;7
"150510 Óbidos";3;3
"150520 Oeiras do Pará";1;1
"150530 Oriximiná";3;3
"150540 Ourém";1;1
"150549 Palestina do Pará";2;2
"150550 Paragominas";28;28
"150553 Parauapebas";87;87
"150565 Placas";1;1
"150570 Ponta de Pedras";1;1
"150580 Portel";3;3
"150611 Quatipuru";1;1
"150613 Redenção";49;49
"150616 Rio Maria";1;1
"150619 Rurópolis";1;1
"150620 Salinópolis";22;22
"150630 Salvaterra";3;3
"150650 Santa Isabel do Pará";23;23
"150670 Santana do Araguaia";8;8
"150680 Santarém";159;159
"150710 São Caetano de Odivelas";1;1
"150730 São Félix do Xingu";6;6
"150745 São Geraldo do Araguaia";2;2
"150747 São João de Pirabas";5;5
"150760 São Miguel do Guamá";2;2
"150775 Sapucaia";1;1
"150780 Senador José Porfírio";2;2
"150790 Soure";8;8
"150795 Tailândia";19;19
"150810 Tucuruí";30;30
"150815 Uruará";1;1
"150820 Vigia";17;17
"Total";1741;1741
