 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Pará
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"150010 Abaetetuba";1;2;1;3;1;2;8;2;3;23
"150020 Acará";0;0;0;0;1;0;0;0;0;1
"150050 Almeirim";0;0;0;1;0;0;0;0;0;1
"150060 Altamira";2;7;2;9;10;7;3;1;6;47
"150080 Ananindeua";2;2;1;8;2;49;12;1;21;98
"150085 Anapu";0;0;0;0;1;0;0;0;0;1
"150110 Bagre";0;0;0;0;0;0;0;1;0;1
"150120 Baião";0;0;0;0;0;0;1;0;0;1
"150130 Barcarena";0;2;0;1;3;3;15;0;5;29
"150140 Belém";14;24;9;83;17;104;85;20;82;438
"150150 Benevides";1;0;0;0;1;0;1;0;0;3
"150170 Bragança";1;5;1;2;6;6;8;2;3;34
"150180 Breves";2;1;0;2;0;0;3;3;2;13
"150195 Cachoeira do Piriá";0;0;0;1;0;0;0;0;0;1
"150210 Cametá";0;1;0;2;1;3;2;0;0;9
"150215 Canaã dos Carajás";0;3;0;1;0;2;5;0;3;14
"150220 Capanema";3;2;0;14;1;6;3;2;3;34
"150230 Capitão Poço";0;0;1;0;0;0;0;0;0;1
"150240 Castanhal";3;9;2;29;4;9;29;6;8;99
"150250 Chaves";0;0;0;0;0;1;0;0;0;1
"150275 Concórdia do Pará";0;0;0;0;0;0;0;1;0;1
"150277 Curionópolis";0;0;0;0;0;0;0;1;0;1
"150290 Curuçá";0;0;0;1;0;1;3;0;0;5
"150295 Eldorado dos Carajás";0;0;0;1;0;0;1;0;0;2
"150300 Faro";0;0;0;0;0;0;1;0;0;1
"150304 Floresta do Araguaia";0;0;0;0;0;0;1;0;0;1
"150307 Garrafão do Norte";1;1;0;0;0;0;0;0;0;2
"150320 Igarapé-Açu";0;0;0;0;0;0;1;0;0;1
"150330 Igarapé-Miri";0;2;0;1;2;1;3;0;0;9
"150345 Ipixuna do Pará";0;1;0;2;0;0;0;0;0;3
"150350 Irituia";0;0;0;1;0;0;0;0;0;1
"150360 Itaituba";0;0;0;0;0;0;1;0;0;1
"150370 Itupiranga";0;1;0;0;0;0;0;0;0;1
"150375 Jacareacanga";0;0;1;1;0;0;1;0;1;4
"150380 Jacundá";0;0;0;0;0;0;1;0;0;1
"150390 Juruti";0;0;0;0;0;0;1;0;0;1
"150420 Marabá";2;8;3;32;7;23;29;7;8;119
"150430 Maracanã";0;1;0;0;0;0;0;0;0;1
"150442 Marituba";1;2;0;3;7;9;10;1;4;37
"150445 Medicilândia";0;1;0;1;0;0;1;0;0;3
"150470 Moju";0;0;0;2;0;1;0;0;1;4
"150480 Monte Alegre";0;0;0;0;0;0;1;0;0;1
"150490 Muaná";0;0;0;0;0;1;0;0;0;1
"150495 Nova Esperança do Piriá";0;0;0;0;0;0;1;0;0;1
"150497 Nova Ipixuna";0;0;0;0;1;0;0;0;0;1
"150503 Novo Progresso";0;1;0;1;0;0;0;0;0;2
"150506 Novo Repartimento";1;0;1;3;0;0;1;0;1;7
"150510 Óbidos";0;1;1;0;0;0;1;0;0;3
"150520 Oeiras do Pará";0;1;0;0;0;0;0;0;0;1
"150530 Oriximiná";0;0;0;0;1;1;0;0;0;2
"150540 Ourém";0;1;0;0;0;0;0;0;0;1
"150549 Palestina do Pará";0;0;0;0;0;1;0;0;1;2
"150550 Paragominas";3;1;1;6;3;4;2;1;5;26
"150553 Parauapebas";1;5;2;11;5;10;34;2;9;79
"150565 Placas";0;0;0;0;0;1;0;0;0;1
"150580 Portel";0;0;0;2;0;1;0;0;0;3
"150611 Quatipuru";0;0;0;0;1;0;0;0;0;1
"150613 Redenção";2;9;3;5;9;4;6;0;6;44
"150616 Rio Maria";0;0;0;1;0;0;0;0;0;1
"150619 Rurópolis";0;0;0;0;1;0;0;0;0;1
"150620 Salinópolis";0;2;1;8;1;3;4;0;1;20
"150630 Salvaterra";0;0;0;0;0;1;1;0;0;2
"150650 Santa Isabel do Pará";1;0;2;5;0;1;4;0;3;16
"150670 Santana do Araguaia";0;1;1;2;1;1;1;0;0;7
"150680 Santarém";3;5;0;14;18;24;71;2;15;152
"150710 São Caetano de Odivelas";0;1;0;0;0;0;0;0;0;1
"150730 São Félix do Xingu";1;0;1;0;0;0;2;1;1;6
"150745 São Geraldo do Araguaia";0;0;0;1;0;0;1;0;0;2
"150747 São João de Pirabas";0;1;0;1;0;1;2;0;0;5
"150760 São Miguel do Guamá";0;1;0;0;0;0;0;0;0;1
"150775 Sapucaia";0;0;0;1;0;0;0;0;0;1
"150780 Senador José Porfírio";0;2;0;0;0;0;0;0;0;2
"150790 Soure";0;0;0;3;0;0;0;0;1;4
"150795 Tailândia";1;0;1;1;1;7;2;0;2;15
"150810 Tucuruí";1;3;0;6;5;8;1;2;4;30
"150815 Uruará";0;0;0;0;1;0;0;0;0;1
"150820 Vigia";2;1;0;4;1;0;2;0;3;13
"Total";49;111;35;276;113;296;366;56;202;1504
