 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Pará
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"150010 Abaetetuba";2;0;0;23;0;0;25
"150020 Acará";0;1;0;0;0;0;1
"150040 Alenquer";0;0;1;0;0;0;1
"150050 Almeirim";0;0;0;1;0;0;1
"150060 Altamira";3;10;1;41;0;0;55
"150080 Ananindeua";8;4;0;99;0;0;111
"150085 Anapu";0;1;0;0;0;0;1
"150110 Bagre";0;0;0;2;0;0;2
"150120 Baião";0;0;0;1;0;0;1
"150130 Barcarena";2;0;0;30;0;0;32
"150140 Belém";70;54;2;408;1;3;538
"150150 Benevides";1;1;0;4;0;0;6
"150170 Bragança";1;0;1;41;0;0;43
"150180 Breves";2;0;0;11;0;0;13
"150195 Cachoeira do Piriá";0;0;0;1;0;0;1
"150210 Cametá";2;0;0;7;0;0;9
"150215 Canaã dos Carajás";6;3;1;12;0;0;22
"150220 Capanema";3;2;0;31;0;0;36
"150230 Capitão Poço";0;0;0;1;0;0;1
"150240 Castanhal";4;2;0;103;0;0;109
"150250 Chaves";0;0;0;1;0;0;1
"150260 Colares";0;0;0;1;0;0;1
"150275 Concórdia do Pará";0;1;0;0;0;0;1
"150277 Curionópolis";0;0;0;1;0;0;1
"150290 Curuçá";0;0;0;6;0;0;6
"150295 Eldorado dos Carajás";0;0;0;2;0;0;2
"150300 Faro";0;0;0;1;0;0;1
"150304 Floresta do Araguaia";0;0;0;2;0;0;2
"150307 Garrafão do Norte";0;0;0;2;0;0;2
"150320 Igarapé-Açu";0;0;0;1;0;0;1
"150330 Igarapé-Miri";0;0;0;8;1;0;9
"150345 Ipixuna do Pará";0;0;0;3;0;0;3
"150350 Irituia";0;0;0;1;0;0;1
"150360 Itaituba";0;0;0;1;0;0;1
"150370 Itupiranga";0;0;0;1;0;0;1
"150375 Jacareacanga";0;2;0;1;1;0;4
"150380 Jacundá";1;0;0;0;0;0;1
"150390 Juruti";0;0;0;1;0;0;1
"150420 Marabá";8;5;0;113;0;0;126
"150430 Maracanã";0;0;0;1;0;0;1
"150442 Marituba";9;6;1;37;0;1;54
"150445 Medicilândia";0;0;0;3;0;0;3
"150470 Moju";1;0;0;4;0;0;5
"150480 Monte Alegre";0;0;0;1;0;0;1
"150490 Muaná";0;0;0;2;0;0;2
"150495 Nova Esperança do Piriá";0;0;0;1;0;0;1
"150497 Nova Ipixuna";0;0;0;1;0;0;1
"150503 Novo Progresso";0;0;0;2;0;0;2
"150506 Novo Repartimento";0;0;0;7;0;0;7
"150510 Óbidos";0;0;0;3;0;0;3
"150520 Oeiras do Pará";0;0;0;1;0;0;1
"150530 Oriximiná";0;0;0;3;0;0;3
"150540 Ourém";0;0;0;1;0;0;1
"150549 Palestina do Pará";0;0;0;2;0;0;2
"150550 Paragominas";4;2;0;22;0;0;28
"150553 Parauapebas";9;5;0;73;0;0;87
"150565 Placas";1;0;0;0;0;0;1
"150570 Ponta de Pedras";0;0;0;1;0;0;1
"150580 Portel";1;0;0;2;0;0;3
"150611 Quatipuru";0;0;0;1;0;0;1
"150613 Redenção";5;1;0;43;0;0;49
"150616 Rio Maria";0;0;0;1;0;0;1
"150619 Rurópolis";1;0;0;0;0;0;1
"150620 Salinópolis";1;0;0;21;0;0;22
"150630 Salvaterra";0;0;0;3;0;0;3
"150650 Santa Isabel do Pará";1;0;0;22;0;0;23
"150670 Santana do Araguaia";1;1;0;6;0;0;8
"150680 Santarém";8;3;0;147;1;0;159
"150710 São Caetano de Odivelas";0;1;0;0;0;0;1
"150730 São Félix do Xingu";0;0;0;6;0;0;6
"150745 São Geraldo do Araguaia";0;0;0;2;0;0;2
"150747 São João de Pirabas";0;0;0;5;0;0;5
"150760 São Miguel do Guamá";0;1;0;1;0;0;2
"150775 Sapucaia";0;0;0;1;0;0;1
"150780 Senador José Porfírio";0;0;1;1;0;0;2
"150790 Soure";0;5;0;3;0;0;8
"150795 Tailândia";0;1;4;14;0;0;19
"150810 Tucuruí";3;1;0;26;0;0;30
"150815 Uruará";0;0;0;1;0;0;1
"150820 Vigia";3;0;0;13;0;1;17
"Total";161;113;12;1446;4;5;1741
