 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Pará
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"150010 Abaetetuba";19;6;25
"150020 Acará";1;0;1
"150040 Alenquer";1;0;1
"150050 Almeirim";1;0;1
"150060 Altamira";38;17;55
"150080 Ananindeua";80;31;111
"150085 Anapu";1;0;1
"150110 Bagre";1;1;2
"150120 Baião";1;0;1
"150130 Barcarena";24;8;32
"150140 Belém";378;160;538
"150150 Benevides";6;0;6
"150170 Bragança";31;12;43
"150180 Breves";12;1;13
"150195 Cachoeira do Piriá";0;1;1
"150210 Cametá";5;4;9
"150215 Canaã dos Carajás";18;4;22
"150220 Capanema";22;14;36
"150230 Capitão Poço";1;0;1
"150240 Castanhal";72;37;109
"150250 Chaves";1;0;1
"150260 Colares";1;0;1
"150275 Concórdia do Pará";1;0;1
"150277 Curionópolis";0;1;1
"150290 Curuçá";5;1;6
"150295 Eldorado dos Carajás";0;2;2
"150300 Faro";1;0;1
"150304 Floresta do Araguaia";1;1;2
"150307 Garrafão do Norte";2;0;2
"150320 Igarapé-Açu";0;1;1
"150330 Igarapé-Miri";2;7;9
"150345 Ipixuna do Pará";2;1;3
"150350 Irituia";0;1;1
"150360 Itaituba";1;0;1
"150370 Itupiranga";1;0;1
"150375 Jacareacanga";3;1;4
"150380 Jacundá";1;0;1
"150390 Juruti";1;0;1
"150420 Marabá";74;52;126
"150430 Maracanã";1;0;1
"150442 Marituba";41;13;54
"150445 Medicilândia";3;0;3
"150470 Moju";2;3;5
"150480 Monte Alegre";1;0;1
"150490 Muaná";1;1;2
"150495 Nova Esperança do Piriá";0;1;1
"150497 Nova Ipixuna";1;0;1
"150503 Novo Progresso";2;0;2
"150506 Novo Repartimento";7;0;7
"150510 Óbidos";1;2;3
"150520 Oeiras do Pará";0;1;1
"150530 Oriximiná";2;1;3
"150540 Ourém";0;1;1
"150549 Palestina do Pará";2;0;2
"150550 Paragominas";20;8;28
"150553 Parauapebas";58;29;87
"150565 Placas";1;0;1
"150570 Ponta de Pedras";1;0;1
"150580 Portel";3;0;3
"150611 Quatipuru";0;1;1
"150613 Redenção";30;19;49
"150616 Rio Maria";0;1;1
"150619 Rurópolis";1;0;1
"150620 Salinópolis";11;11;22
"150630 Salvaterra";3;0;3
"150650 Santa Isabel do Pará";18;5;23
"150670 Santana do Araguaia";4;4;8
"150680 Santarém";122;37;159
"150710 São Caetano de Odivelas";1;0;1
"150730 São Félix do Xingu";4;2;6
"150745 São Geraldo do Araguaia";1;1;2
"150747 São João de Pirabas";3;2;5
"150760 São Miguel do Guamá";0;2;2
"150775 Sapucaia";1;0;1
"150780 Senador José Porfírio";1;1;2
"150790 Soure";5;3;8
"150795 Tailândia";12;7;19
"150810 Tucuruí";17;13;30
"150815 Uruará";1;0;1
"150820 Vigia";13;4;17
"Total";1204;537;1741
