 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Rondônia
Período:2016
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"110002 Ariquemes";2;3;0;2;1;0;5;0;2;15
"110045 Buritis";0;1;0;0;0;0;0;0;0;1
"110004 Cacoal";0;0;1;0;0;2;3;1;0;7
"110005 Cerejeiras";1;0;0;0;0;0;0;0;0;1
"110009 Espigão D'Oeste";0;0;0;0;0;1;0;0;0;1
"110010 Guajará-Mirim";0;0;1;0;0;0;1;0;0;2
"110011 Jaru";0;0;0;1;0;0;0;0;0;1
"110012 Ji-Paraná";0;1;3;3;2;8;3;0;2;22
"110120 Ministro Andreazza";0;0;0;0;0;1;0;0;0;1
"110143 Nova União";0;0;0;1;0;0;0;0;0;1
"110015 Ouro Preto do Oeste";0;0;0;0;0;0;1;0;0;1
"110018 Pimenta Bueno";0;1;1;0;0;1;0;0;0;3
"110020 Porto Velho";5;26;10;37;14;16;40;19;27;194
"110025 Presidente Médici";0;1;0;0;0;0;1;0;0;2
"110028 Rolim de Moura";0;1;0;1;0;0;0;0;0;2
"110030 Vilhena";0;0;2;2;1;1;5;1;0;12
"Total";8;34;18;47;18;30;59;21;31;266
