 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rondônia
Período:2018
"Município (Res)";"< 1 ano";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"110040 Alto Paraíso";0;0;0;0;0;0;1;0;0;0;0;1
"110034 Alvorada D'Oeste";0;0;1;0;0;1;0;0;0;0;0;2
"110002 Ariquemes";0;0;0;1;3;12;5;2;2;0;0;25
"110045 Buritis";0;0;0;0;0;1;0;0;0;0;0;1
"110004 Cacoal";0;0;0;0;2;2;1;1;1;0;0;7
"110080 Candeias do Jamari";0;0;0;0;2;0;0;0;0;0;0;2
"110005 Cerejeiras";0;0;0;0;0;1;2;0;0;0;0;3
"110009 Espigão D'Oeste";0;0;0;0;0;1;1;1;0;0;0;3
"110010 Guajará-Mirim";0;0;0;0;2;2;2;2;0;0;0;8
"110110 Itapuã do Oeste";0;0;0;0;0;0;0;1;0;0;0;1
"110011 Jaru";0;0;0;0;0;0;1;0;0;0;0;1
"110012 Ji-Paraná";0;0;0;0;6;6;4;5;0;1;0;22
"110013 Machadinho D'Oeste";0;0;0;0;0;0;1;0;0;0;0;1
"110033 Nova Mamoré";0;0;1;0;0;0;0;1;0;0;0;2
"110050 Novo Horizonte do Oeste";0;0;0;0;0;0;1;0;0;0;0;1
"110015 Ouro Preto do Oeste";0;0;0;0;2;0;2;0;0;0;0;4
"110018 Pimenta Bueno";0;0;0;0;0;3;1;0;0;0;1;5
"110020 Porto Velho";2;1;0;5;69;61;42;29;8;3;0;220
"110025 Presidente Médici";0;0;0;0;0;1;1;0;0;0;0;2
"110026 Rio Crespo";0;0;0;0;0;0;1;0;0;0;0;1
"110028 Rolim de Moura";0;0;0;0;1;0;2;2;0;1;0;6
"110160 Theobroma";0;0;0;0;0;1;0;0;0;0;0;1
"110030 Vilhena";0;0;0;0;3;2;5;3;0;0;0;13
"Total";2;1;2;6;90;94;73;47;11;5;1;332
