 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Rondônia
Período:2019
"Município (Res)";"2019";"Total"
"110040 Alto Paraíso";1;1
"110002 Ariquemes";18;18
"110045 Buritis";1;1
"110004 Cacoal";12;12
"110070 Campo Novo de Rondônia";2;2
"110080 Candeias do Jamari";2;2
"110094 Cujubim";1;1
"110009 Espigão D'Oeste";1;1
"110010 Guajará-Mirim";8;8
"110110 Itapuã do Oeste";1;1
"110011 Jaru";3;3
"110012 Ji-Paraná";28;28
"110013 Machadinho D'Oeste";2;2
"110140 Monte Negro";1;1
"110014 Nova Brasilândia D'Oeste";1;1
"110015 Ouro Preto do Oeste";1;1
"110018 Pimenta Bueno";4;4
"110020 Porto Velho";206;206
"110025 Presidente Médici";2;2
"110028 Rolim de Moura";3;3
"110149 São Francisco do Guaporé";1;1
"110150 Seringueiras";2;2
"110030 Vilhena";18;18
"110000 Município ignorado - RO";1;1
"Total";320;320
