 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rondônia
Período:2019
"Município (Res)";"Masculino";"Feminino";"Total"
"110040 Alto Paraíso";0;1;1
"110002 Ariquemes";14;4;18
"110045 Buritis";1;0;1
"110004 Cacoal";8;4;12
"110070 Campo Novo de Rondônia";1;1;2
"110080 Candeias do Jamari";1;1;2
"110094 Cujubim";0;1;1
"110009 Espigão D'Oeste";1;0;1
"110010 Guajará-Mirim";5;3;8
"110110 Itapuã do Oeste";1;0;1
"110011 Jaru";2;1;3
"110012 Ji-Paraná";19;9;28
"110013 Machadinho D'Oeste";1;1;2
"110140 Monte Negro";0;1;1
"110014 Nova Brasilândia D'Oeste";1;0;1
"110015 Ouro Preto do Oeste";1;0;1
"110018 Pimenta Bueno";2;2;4
"110020 Porto Velho";153;53;206
"110025 Presidente Médici";1;1;2
"110028 Rolim de Moura";2;1;3
"110149 São Francisco do Guaporé";1;0;1
"110150 Seringueiras";0;2;2
"110030 Vilhena";12;6;18
"110000 Município ignorado - RO";1;0;1
"Total";228;92;320
