 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rondônia
Período:2020
"Município (Res)";"< 1 ano";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"110002 Ariquemes";0;0;0;0;4;5;7;5;1;0;22
"110045 Buritis";0;0;0;0;0;0;0;1;0;0;1
"110004 Cacoal";1;0;0;1;2;3;2;2;0;0;11
"110080 Candeias do Jamari";0;0;0;0;0;0;1;1;0;0;2
"110010 Guajará-Mirim";0;0;0;0;3;4;0;0;0;0;7
"110110 Itapuã do Oeste";0;0;0;0;0;1;2;0;0;0;3
"110011 Jaru";0;0;0;0;1;0;0;0;0;0;1
"110012 Ji-Paraná";0;0;0;0;9;2;1;2;2;0;16
"110014 Nova Brasilândia D'Oeste";0;0;0;0;1;0;0;0;0;0;1
"110033 Nova Mamoré";0;0;0;0;1;0;0;0;0;0;1
"110143 Nova União";0;0;0;0;0;0;1;0;0;0;1
"110015 Ouro Preto do Oeste";0;0;0;0;0;0;1;0;0;0;1
"110020 Porto Velho";0;1;1;5;52;41;37;18;9;3;167
"110026 Rio Crespo";0;0;0;0;1;0;0;0;0;0;1
"110028 Rolim de Moura";0;0;0;0;3;2;3;1;0;0;9
"110160 Theobroma";0;0;0;0;0;0;0;1;0;0;1
"110170 Urupá";0;0;0;0;0;1;0;0;0;0;1
"110175 Vale do Anari";0;0;0;0;0;0;1;0;0;0;1
"110030 Vilhena";0;0;0;0;4;5;10;0;0;0;19
"Total";1;1;1;6;81;64;66;31;12;3;266
