 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Rondônia
Período:2022
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"110040 Alto Paraíso";0;1;0;0;0;0;0;0;0;0;1
"110002 Ariquemes";0;5;2;3;0;2;4;1;1;0;18
"110045 Buritis";0;0;0;0;0;0;0;0;1;0;1
"110004 Cacoal";0;1;1;0;2;0;2;1;1;0;8
"110080 Candeias do Jamari";0;0;0;1;0;0;0;1;0;0;2
"110005 Cerejeiras";0;0;0;0;0;0;1;0;0;0;1
"110006 Colorado do Oeste";0;0;0;1;0;0;0;0;0;0;1
"110008 Costa Marques";0;0;0;1;0;0;0;1;0;0;2
"110009 Espigão D'Oeste";0;0;0;1;0;0;0;0;0;0;1
"110100 Governador Jorge Teixeira";0;0;0;0;0;0;1;0;0;0;1
"110010 Guajará-Mirim";0;0;1;0;0;1;1;0;1;0;4
"110011 Jaru";0;0;0;0;0;1;1;0;0;0;2
"110012 Ji-Paraná";1;6;1;3;2;4;5;4;1;0;27
"110140 Monte Negro";0;0;0;0;0;0;1;0;0;0;1
"110033 Nova Mamoré";0;0;0;0;0;0;2;0;0;0;2
"110015 Ouro Preto do Oeste";0;0;0;0;0;1;0;0;0;0;1
"110018 Pimenta Bueno";0;1;0;0;0;1;1;0;0;0;3
"110020 Porto Velho";7;18;13;42;10;22;56;23;25;1;217
"110026 Rio Crespo";0;1;0;0;0;0;0;0;0;0;1
"110028 Rolim de Moura";0;1;1;2;0;3;2;2;1;0;12
"110175 Vale do Anari";0;0;1;0;0;0;1;0;0;0;2
"110030 Vilhena";4;1;4;4;1;0;4;1;3;0;22
"Total";12;35;24;58;15;35;82;34;34;1;330
