 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Rondônia
Período:2024
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110002 Ariquemes";4;0;0;29;0;1;34
"110045 Buritis";0;0;0;1;0;0;1
"110060 Cacaulândia";0;0;0;1;0;0;1
"110004 Cacoal";3;1;0;9;0;0;13
"110080 Candeias do Jamari";0;0;0;2;0;0;2
"110005 Cerejeiras";1;1;0;1;0;0;3
"110009 Espigão D'Oeste";1;0;0;0;0;0;1
"110010 Guajará-Mirim";0;0;0;5;0;0;5
"110011 Jaru";0;0;0;4;0;0;4
"110012 Ji-Paraná";6;0;0;20;0;0;26
"110140 Monte Negro";0;0;0;1;0;0;1
"110033 Nova Mamoré";1;0;0;3;0;0;4
"110018 Pimenta Bueno";1;0;0;4;0;0;5
"110020 Porto Velho";40;7;1;153;0;0;201
"110025 Presidente Médici";1;0;0;0;0;0;1
"110026 Rio Crespo";0;0;0;1;0;0;1
"110028 Rolim de Moura";6;1;0;7;0;0;14
"110149 São Francisco do Guaporé";0;0;0;2;1;0;3
"110180 Vale do Paraíso";0;0;0;1;0;0;1
"110030 Vilhena";14;0;0;21;0;0;35
"Total";78;10;1;265;1;1;356
