 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Rondônia
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"110001 Alta Floresta D'Oeste";0;1;0;0;0;0;0;0;0;1
"110037 Alto Alegre dos Parecis";0;1;0;0;0;0;0;0;0;1
"110002 Ariquemes";1;4;0;4;0;5;5;2;2;23
"110045 Buritis";1;0;0;0;0;0;0;0;0;1
"110004 Cacoal";0;2;0;0;0;0;0;1;0;3
"110080 Candeias do Jamari";0;0;0;0;0;1;0;0;0;1
"110008 Costa Marques";0;0;0;0;0;0;1;0;0;1
"110010 Guajará-Mirim";0;1;0;1;0;2;1;1;0;6
"110011 Jaru";0;1;1;0;0;0;0;0;1;3
"110012 Ji-Paraná";1;1;0;3;0;1;2;0;3;11
"110015 Ouro Preto do Oeste";0;0;0;0;0;1;0;0;0;1
"110018 Pimenta Bueno";0;2;0;0;0;0;0;0;1;3
"110020 Porto Velho";9;12;1;21;4;14;25;10;17;113
"110028 Rolim de Moura";0;0;0;0;0;1;1;0;0;2
"110149 São Francisco do Guaporé";0;0;0;0;0;0;1;0;0;1
"110032 São Miguel do Guaporé";0;0;0;0;0;1;0;0;0;1
"110155 Teixeirópolis";1;0;0;0;0;0;0;0;0;1
"110175 Vale do Anari";0;0;0;0;1;0;0;0;0;1
"110030 Vilhena";6;4;2;5;3;3;4;3;2;32
"Total";19;29;4;34;8;29;40;17;26;206
