 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Rondônia
Período:2025
"Município (Res)";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"110001 Alta Floresta D'Oeste";0;0;0;0;1;0;0;0;0;1
"110037 Alto Alegre dos Parecis";0;0;0;0;1;1;0;0;0;2
"110034 Alvorada D'Oeste";0;0;0;0;0;0;1;0;0;1
"110002 Ariquemes";0;0;7;5;7;2;4;0;0;25
"110045 Buritis";0;0;0;1;0;0;1;0;0;2
"110004 Cacoal";0;0;0;2;0;1;0;0;0;3
"110080 Candeias do Jamari";0;0;1;0;0;0;0;0;0;1
"110008 Costa Marques";0;0;0;1;0;0;0;0;0;1
"110010 Guajará-Mirim";0;0;3;2;0;1;0;0;0;6
"110011 Jaru";0;0;0;0;2;1;0;1;0;4
"110012 Ji-Paraná";0;1;2;5;4;1;0;1;0;14
"110015 Ouro Preto do Oeste";0;0;0;0;1;0;0;0;0;1
"110018 Pimenta Bueno";0;0;1;1;1;0;0;0;0;3
"110020 Porto Velho";0;5;39;40;21;15;6;0;1;127
"110028 Rolim de Moura";0;0;0;1;0;1;0;0;0;2
"110149 São Francisco do Guaporé";0;0;1;0;0;0;0;0;0;1
"110032 São Miguel do Guaporé";0;0;1;0;0;0;0;0;0;1
"110155 Teixeirópolis";0;0;1;0;0;0;0;0;0;1
"110175 Vale do Anari";0;0;0;1;0;0;0;0;0;1
"110030 Vilhena";1;1;7;8;7;6;3;1;0;34
"Total";1;7;63;67;45;29;15;3;1;231
