 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Rondônia
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"110001 Alta Floresta D'Oeste";0;0;0;1;0;0;1
"110037 Alto Alegre dos Parecis";0;0;0;2;0;0;2
"110034 Alvorada D'Oeste";0;0;0;1;0;0;1
"110002 Ariquemes";8;2;0;15;0;0;25
"110045 Buritis";1;1;0;0;0;0;2
"110004 Cacoal";1;0;0;2;0;0;3
"110080 Candeias do Jamari";1;0;0;0;0;0;1
"110008 Costa Marques";0;0;0;1;0;0;1
"110010 Guajará-Mirim";2;0;0;4;0;0;6
"110011 Jaru";0;0;0;4;0;0;4
"110012 Ji-Paraná";1;0;0;13;0;0;14
"110015 Ouro Preto do Oeste";0;0;0;1;0;0;1
"110018 Pimenta Bueno";0;0;0;3;0;0;3
"110020 Porto Velho";31;7;2;85;1;1;127
"110028 Rolim de Moura";0;0;0;2;0;0;2
"110149 São Francisco do Guaporé";0;0;0;1;0;0;1
"110032 São Miguel do Guaporé";0;0;0;1;0;0;1
"110155 Teixeirópolis";0;0;0;1;0;0;1
"110175 Vale do Anari";0;0;0;1;0;0;1
"110030 Vilhena";11;2;1;19;1;0;34
"Total";56;12;3;157;2;1;231
