 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Roraima
Período:2018
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"140005 Alto Alegre";1;0;0;0;0;1;0;0;0;2
"140002 Amajari";0;1;0;0;0;0;0;0;0;1
"140010 Boa Vista";8;17;5;21;6;18;47;14;30;166
"140017 Cantá";1;0;0;0;0;0;0;0;0;1
"140020 Caracaraí";0;0;1;0;0;0;0;0;0;1
"140023 Caroebe";0;0;0;1;0;0;0;0;0;1
"140040 Normandia";0;1;0;0;0;0;0;0;0;1
"140045 Pacaraima";0;0;0;0;0;0;0;1;0;1
"140047 Rorainópolis";0;2;0;1;0;0;1;0;0;4
"140050 São João da Baliza";0;0;0;1;0;0;0;0;0;1
"Total";10;21;6;24;6;19;48;15;30;179
