 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Roraima
Período:2019
"Município (Res)";"1-4";"5-9";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"Total"
"140005 Alto Alegre";0;0;0;2;0;0;0;0;2
"140002 Amajari";0;0;0;1;1;0;0;0;2
"140010 Boa Vista";0;2;8;66;78;33;14;2;203
"140015 Bonfim";0;0;0;3;0;0;0;0;3
"140017 Cantá";0;0;0;1;1;1;0;0;3
"140020 Caracaraí";0;0;0;1;2;0;0;0;3
"140028 Iracema";0;0;0;1;0;0;0;0;1
"140030 Mucajaí";1;0;0;0;1;1;0;0;3
"140045 Pacaraima";0;0;0;1;2;0;0;0;3
"140047 Rorainópolis";0;0;0;2;1;1;1;0;5
"140050 São João da Baliza";0;0;0;0;0;1;0;0;1
"Total";1;2;8;78;86;37;15;2;229
