 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Roraima
Período:2020
"Município (Res)";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"140005 Alto Alegre";0;1;0;0;0;0;1;0;2
"140010 Boa Vista";8;2;8;11;7;26;3;10;75
"140017 Cantá";1;0;0;0;0;1;0;0;2
"140020 Caracaraí";0;0;0;0;2;1;0;0;3
"140023 Caroebe";0;1;0;0;0;0;0;0;1
"140028 Iracema";1;0;0;0;0;0;0;0;1
"140030 Mucajaí";0;0;1;0;0;0;0;0;1
"140045 Pacaraima";0;1;1;0;0;0;0;0;2
"140047 Rorainópolis";0;0;1;0;2;0;0;0;3
"140050 São João da Baliza";0;0;0;0;0;1;0;0;1
"140060 São Luiz";0;1;0;0;0;0;0;0;1
"140070 Uiramutã";0;0;0;0;0;0;0;1;1
"Total";10;6;11;11;11;29;4;11;93
