 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Roraima
Período:2020
"Município (Res)";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"70-79";"Total"
"140005 Alto Alegre";0;0;0;0;1;0;1;0;0;2
"140010 Boa Vista";1;0;2;5;37;33;26;4;3;111
"140017 Cantá";0;1;0;0;0;1;0;0;0;2
"140020 Caracaraí";0;0;0;0;0;1;0;2;0;3
"140023 Caroebe";0;0;0;0;0;1;1;0;0;2
"140028 Iracema";0;0;0;0;1;0;0;0;0;1
"140030 Mucajaí";0;0;0;0;1;0;0;0;0;1
"140045 Pacaraima";0;0;0;0;0;0;1;1;0;2
"140047 Rorainópolis";0;0;0;0;1;1;0;1;0;3
"140050 São João da Baliza";0;0;0;0;0;1;0;0;0;1
"140060 São Luiz";0;0;0;0;0;0;1;0;0;1
"140070 Uiramutã";0;0;0;0;1;0;0;0;0;1
"Total";1;1;2;5;42;38;30;8;3;130
