 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Roraima
Período:2022
"Município (Res)";"< 1 ano";"1-4";"5-9";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"Total"
"140010 Boa Vista";1;1;2;1;6;76;73;39;15;5;219
"140015 Bonfim";0;0;0;0;0;1;0;1;0;0;2
"140017 Cantá";0;0;0;0;0;0;0;2;0;0;2
"140020 Caracaraí";0;1;0;0;0;0;0;1;1;0;3
"140023 Caroebe";0;0;0;0;0;0;0;1;0;0;1
"140030 Mucajaí";0;0;0;0;0;1;2;1;0;0;4
"140045 Pacaraima";0;0;0;0;0;1;0;0;2;0;3
"140047 Rorainópolis";0;0;0;0;0;0;2;0;0;0;2
"140070 Uiramutã";0;0;0;0;0;1;0;0;0;0;1
"Total";1;2;2;1;6;80;77;45;18;5;237
