 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Roraima
Período:2023
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"140002 Amajari";0;0;0;0;3;0;3
"140010 Boa Vista";29;12;4;179;8;1;233
"140015 Bonfim";0;0;0;2;0;0;2
"140017 Cantá";0;0;0;1;0;0;1
"140020 Caracaraí";1;0;0;3;0;0;4
"140030 Mucajaí";1;0;0;6;0;0;7
"140045 Pacaraima";2;0;0;6;1;0;9
"140047 Rorainópolis";0;0;0;7;0;0;7
"140060 São Luiz";0;0;0;1;0;0;1
"Total";33;12;4;205;12;1;267
