 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Roraima
Período:2024
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"140005 Alto Alegre";0;0;1;2;1;4
"140002 Amajari";0;0;0;1;1;2
"140010 Boa Vista";38;6;2;165;14;225
"140015 Bonfim";0;0;0;2;0;2
"140017 Cantá";1;1;0;3;0;5
"140020 Caracaraí";0;0;0;4;0;4
"140023 Caroebe";0;0;0;1;0;1
"140030 Mucajaí";0;0;0;5;0;5
"140040 Normandia";0;0;0;0;3;3
"140045 Pacaraima";0;1;1;19;6;27
"140047 Rorainópolis";0;1;0;13;0;14
"140050 São João da Baliza";1;0;0;1;0;2
"140060 São Luiz";0;0;0;1;0;1
"140000 Município ignorado - RR";0;0;0;1;0;1
"Total";40;9;4;218;25;296
