 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Roraima
Período:2024
"Município (Res)";"Masculino";"Feminino";"Total"
"140005 Alto Alegre";2;2;4
"140002 Amajari";1;1;2
"140010 Boa Vista";161;64;225
"140015 Bonfim";1;1;2
"140017 Cantá";4;1;5
"140020 Caracaraí";3;1;4
"140023 Caroebe";1;0;1
"140030 Mucajaí";1;4;5
"140040 Normandia";2;1;3
"140045 Pacaraima";19;8;27
"140047 Rorainópolis";9;5;14
"140050 São João da Baliza";1;1;2
"140060 São Luiz";1;0;1
"140000 Município ignorado - RR";0;1;1
"Total";206;90;296
