 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Roraima
Período:2025
"Município (Res)";"< 1 ano";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"140005 Alto Alegre";0;0;0;1;0;0;0;0;0;0;0;1
"140010 Boa Vista";1;1;1;5;37;46;29;12;5;3;1;141
"140015 Bonfim";0;0;0;0;1;1;0;1;0;0;0;3
"140020 Caracaraí";0;0;0;2;1;1;0;0;1;0;0;5
"140030 Mucajaí";0;0;0;0;0;1;0;0;0;0;0;1
"140045 Pacaraima";0;0;0;1;1;1;1;2;0;0;0;6
"140047 Rorainópolis";0;0;0;0;2;2;2;0;2;1;0;9
"140060 São Luiz";0;0;0;0;0;0;0;1;0;0;0;1
"140070 Uiramutã";0;0;0;0;1;0;0;0;0;0;0;1
"Total";1;1;1;9;43;52;32;16;8;4;1;168
