 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Tocantins
Período:2016
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"170210 Araguaína";9;1;0;76;0;86
"170220 Araguatins";0;0;0;1;0;1
"170255 Augustinópolis";0;0;0;2;0;2
"170290 Axixá do Tocantins";1;0;0;0;0;1
"170320 Bernardo Sayão";1;0;0;0;0;1
"170370 Brejinho de Nazaré";0;0;0;1;0;1
"170510 Chapada da Natividade";0;0;0;1;0;1
"170550 Colinas do Tocantins";0;1;0;0;0;1
"171670 Colméia";0;0;0;1;0;1
"170600 Couto de Magalhães";1;0;0;1;0;2
"170700 Dianópolis";0;1;0;2;0;3
"170710 Divinópolis do Tocantins";0;0;0;3;0;3
"170730 Dueré";0;0;0;1;0;1
"170825 Fortaleza do Tabocão";0;0;0;1;0;1
"170930 Guaraí";0;1;0;1;0;2
"170950 Gurupi";4;1;0;12;1;18
"171190 Lagoa da Confusão";0;0;0;1;0;1
"171250 Marianópolis do Tocantins";1;0;0;0;0;1
"171488 Nova Olinda";0;0;0;2;0;2
"172100 Palmas";16;0;1;41;0;58
"171610 Paraíso do Tocantins";3;0;0;11;0;14
"171665 Pequizeiro";0;1;0;0;0;1
"171820 Porto Nacional";1;0;0;1;0;2
"171845 Pugmil";0;0;0;1;0;1
"171855 Riachinho";0;1;0;0;0;1
"171880 Sampaio";0;0;0;1;0;1
"171890 Santa Rosa do Tocantins";0;0;0;1;0;1
"172065 Silvanópolis";0;0;0;1;0;1
"172120 Tocantinópolis";0;0;0;1;0;1
"172208 Wanderlândia";0;0;0;2;0;2
"Total";37;7;1;166;1;212
