 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Tocantins
Período:2016
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"170210 Araguaína";60;25;1;86
"170220 Araguatins";1;0;0;1
"170255 Augustinópolis";2;0;0;2
"170290 Axixá do Tocantins";0;1;0;1
"170320 Bernardo Sayão";1;0;0;1
"170370 Brejinho de Nazaré";1;0;0;1
"170510 Chapada da Natividade";0;1;0;1
"170550 Colinas do Tocantins";0;1;0;1
"171670 Colméia";1;0;0;1
"170600 Couto de Magalhães";2;0;0;2
"170700 Dianópolis";3;0;0;3
"170710 Divinópolis do Tocantins";2;1;0;3
"170730 Dueré";1;0;0;1
"170825 Fortaleza do Tabocão";1;0;0;1
"170930 Guaraí";1;1;0;2
"170950 Gurupi";15;3;0;18
"171190 Lagoa da Confusão";1;0;0;1
"171250 Marianópolis do Tocantins";0;1;0;1
"171488 Nova Olinda";1;1;0;2
"172100 Palmas";44;13;1;58
"171610 Paraíso do Tocantins";8;6;0;14
"171665 Pequizeiro";1;0;0;1
"171820 Porto Nacional";1;1;0;2
"171845 Pugmil";0;1;0;1
"171855 Riachinho";1;0;0;1
"171880 Sampaio";1;0;0;1
"171890 Santa Rosa do Tocantins";0;1;0;1
"172065 Silvanópolis";1;0;0;1
"172120 Tocantinópolis";0;1;0;1
"172208 Wanderlândia";1;1;0;2
"Total";151;59;2;212
