 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Tocantins
Período:2018
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"170030 Aguiarnópolis";0;0;0;0;0;1;0;0;1
"170100 Ananás";0;0;1;1;0;1;0;0;3
"170210 Araguaína";1;1;24;29;11;15;6;1;88
"170220 Araguatins";0;0;0;1;0;0;0;0;1
"170240 Arraias";0;0;1;0;0;0;0;0;1
"170290 Axixá do Tocantins";0;0;1;0;0;0;0;0;1
"170330 Bom Jesus do Tocantins";0;0;0;0;0;1;0;0;1
"170389 Carrasco Bonito";0;0;0;0;1;0;0;0;1
"170550 Colinas do Tocantins";0;0;0;1;0;0;1;0;2
"170650 Darcinópolis";0;0;0;0;0;1;0;0;1
"170700 Dianópolis";0;0;0;1;0;1;0;0;2
"170950 Gurupi";1;1;6;9;4;5;1;0;27
"171190 Lagoa da Confusão";0;0;0;1;0;0;0;1;2
"171320 Miracema do Tocantins";0;0;0;1;0;0;0;0;1
"171330 Miranorte";0;0;1;0;0;0;0;0;1
"171420 Natividade";0;0;0;0;1;0;0;0;1
"172100 Palmas";0;3;32;33;15;12;0;0;95
"171380 Palmeiras do Tocantins";0;0;0;0;0;1;0;0;1
"171610 Paraíso do Tocantins";0;0;1;2;0;0;0;0;3
"171660 Peixe";0;0;0;0;0;0;1;0;1
"171820 Porto Nacional";0;0;1;0;0;0;0;0;1
"171830 Praia Norte";0;0;0;1;0;0;0;0;1
"171845 Pugmil";0;0;0;1;0;0;0;0;1
"171850 Recursolândia";0;0;0;1;0;0;0;0;1
"172020 São Miguel do Tocantins";0;0;0;1;0;0;0;0;1
"172030 São Sebastião do Tocantins";1;0;0;0;0;0;0;0;1
"172049 São Valério da Natividade";0;0;0;1;0;0;0;0;1
"172120 Tocantinópolis";0;0;0;1;0;0;0;0;1
"172208 Wanderlândia";0;0;0;0;1;0;0;0;1
"Total";3;5;68;85;33;38;9;2;243
