 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Tocantins
Período:2019
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"170070 Alvorada";0;0;0;0;1;0;0;0;0;1
"170210 Araguaína";3;4;1;10;5;7;11;6;9;56
"170215 Araguanã";0;0;1;0;0;0;0;0;0;1
"170230 Arapoema";0;0;0;0;0;1;0;0;0;1
"170290 Axixá do Tocantins";0;0;0;0;0;0;1;0;0;1
"170330 Bom Jesus do Tocantins";0;0;0;0;1;0;0;0;0;1
"170370 Brejinho de Nazaré";0;0;0;0;0;0;0;1;0;1
"170550 Colinas do Tocantins";0;0;0;0;0;0;1;0;0;1
"170700 Dianópolis";1;0;0;0;0;0;0;0;0;1
"170950 Gurupi";1;0;0;4;1;1;8;0;2;17
"171320 Miracema do Tocantins";0;1;0;0;0;0;0;0;0;1
"172100 Palmas";2;5;0;7;4;2;13;7;9;49
"171575 Palmeirópolis";0;0;0;0;0;0;1;0;0;1
"171610 Paraíso do Tocantins";0;0;0;0;2;0;3;0;0;5
"171820 Porto Nacional";0;1;0;1;0;0;0;0;2;4
"171880 Sampaio";0;0;0;0;1;0;0;0;0;1
"171884 Sandolândia";1;0;0;0;0;0;0;0;0;1
"171886 Santa Fé do Araguaia";0;0;0;1;0;0;0;0;0;1
"171890 Santa Rosa do Tocantins";0;0;0;0;0;1;0;0;0;1
"172020 São Miguel do Tocantins";0;0;0;0;0;0;0;0;1;1
"172210 Xambioá";0;0;0;1;0;0;0;0;0;1
"Total";8;11;2;24;15;12;38;14;23;147
