 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Tocantins
Período:2019
"Município (Res)";"< 1 ano";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"Total"
"170070 Alvorada";0;0;0;0;0;1;0;0;1
"170210 Araguaína";0;0;2;21;18;6;10;3;60
"170215 Araguanã";0;0;0;0;0;0;0;1;1
"170230 Arapoema";0;0;0;1;0;0;0;0;1
"170290 Axixá do Tocantins";0;0;0;0;0;1;0;0;1
"170330 Bom Jesus do Tocantins";0;0;0;0;1;0;0;0;1
"170370 Brejinho de Nazaré";0;0;0;1;0;0;0;0;1
"170550 Colinas do Tocantins";0;0;1;0;0;0;0;0;1
"170700 Dianópolis";0;0;0;0;0;0;0;1;1
"170765 Figueirópolis";0;0;0;0;0;1;0;0;1
"170950 Gurupi";0;0;0;4;8;5;1;0;18
"171280 Maurilândia do Tocantins";0;0;0;0;0;1;0;0;1
"171320 Miracema do Tocantins";0;0;0;0;1;1;0;0;2
"171500 Nova Rosalândia";0;0;0;0;0;0;1;0;1
"172100 Palmas";0;1;3;23;22;10;5;4;68
"171575 Palmeirópolis";0;0;0;0;1;1;0;0;2
"171610 Paraíso do Tocantins";0;0;0;1;1;1;1;1;5
"171820 Porto Nacional";0;0;0;1;0;0;3;0;4
"171880 Sampaio";0;0;0;1;0;0;0;0;1
"171884 Sandolândia";0;0;0;0;0;0;1;0;1
"171886 Santa Fé do Araguaia";0;0;0;0;0;0;1;0;1
"171890 Santa Rosa do Tocantins";0;0;0;0;1;0;0;0;1
"172020 São Miguel do Tocantins";0;0;0;0;1;0;0;0;1
"172210 Xambioá";0;0;0;0;1;0;0;0;1
"170000 Município ignorado - TO";1;0;0;0;0;0;0;0;1
"Total";1;1;6;53;55;28;23;10;177
