 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Tocantins
Período:2019
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"170070 Alvorada";0;0;0;1;0;1
"170210 Araguaína";5;5;3;47;0;60
"170215 Araguanã";0;0;0;1;0;1
"170230 Arapoema";0;0;0;1;0;1
"170290 Axixá do Tocantins";0;0;0;1;0;1
"170330 Bom Jesus do Tocantins";0;0;0;1;0;1
"170370 Brejinho de Nazaré";0;0;0;1;0;1
"170550 Colinas do Tocantins";0;0;0;1;0;1
"170700 Dianópolis";0;0;0;1;0;1
"170765 Figueirópolis";1;0;0;0;0;1
"170950 Gurupi";9;1;1;7;0;18
"171280 Maurilândia do Tocantins";0;0;0;1;0;1
"171320 Miracema do Tocantins";0;0;0;2;0;2
"171500 Nova Rosalândia";0;0;1;0;0;1
"172100 Palmas";28;1;4;35;0;68
"171575 Palmeirópolis";1;0;0;1;0;2
"171610 Paraíso do Tocantins";2;0;0;3;0;5
"171820 Porto Nacional";1;0;0;3;0;4
"171880 Sampaio";0;0;0;1;0;1
"171884 Sandolândia";0;0;0;1;0;1
"171886 Santa Fé do Araguaia";0;0;0;1;0;1
"171890 Santa Rosa do Tocantins";0;0;0;1;0;1
"172020 São Miguel do Tocantins";0;1;0;0;0;1
"172210 Xambioá";0;0;0;1;0;1
"170000 Município ignorado - TO";0;0;0;0;1;1
"Total";47;8;9;112;1;177
