 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Tocantins
Período:2021
"Município (Res)";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"Total"
"170070 Alvorada";0;0;1;0;0;0;0;1
"170100 Ananás";0;0;0;1;1;0;0;2
"170200 Araguaçu";0;1;0;0;0;0;0;1
"170210 Araguaína";1;29;31;20;8;3;1;93
"170220 Araguatins";0;0;0;1;1;0;0;2
"170255 Augustinópolis";0;0;0;1;0;0;0;1
"170550 Colinas do Tocantins";0;0;0;1;1;1;0;3
"170610 Cristalândia";0;0;0;0;1;0;0;1
"170650 Darcinópolis";0;1;0;1;0;0;0;2
"170700 Dianópolis";0;0;1;0;0;0;0;1
"170770 Filadélfia";0;0;1;0;0;0;0;1
"170930 Guaraí";0;1;0;0;1;0;0;2
"170950 Gurupi";1;5;5;3;3;0;0;17
"171510 Novo Acordo";0;1;0;0;0;0;0;1
"172100 Palmas";3;25;9;20;9;2;0;68
"171380 Palmeiras do Tocantins";0;0;0;1;0;0;0;1
"171610 Paraíso do Tocantins";1;2;2;3;4;0;0;12
"171630 Pau D'Arco";0;0;0;1;0;0;0;1
"171660 Peixe";0;0;0;0;0;1;0;1
"171820 Porto Nacional";0;3;1;1;1;1;0;7
"171830 Praia Norte";0;0;0;1;0;0;0;1
"171840 Presidente Kennedy";0;0;0;0;1;0;0;1
"171865 Rio da Conceição";0;0;0;1;0;0;0;1
"171880 Sampaio";0;1;0;0;0;0;0;1
"Total";6;69;51;56;31;8;1;222
