 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Tocantins
Período:2021
"Município (Res)";"Masculino";"Feminino";"Total"
"170070 Alvorada";1;0;1
"170100 Ananás";1;1;2
"170200 Araguaçu";1;0;1
"170210 Araguaína";65;28;93
"170220 Araguatins";1;1;2
"170255 Augustinópolis";0;1;1
"170550 Colinas do Tocantins";3;0;3
"170610 Cristalândia";1;0;1
"170650 Darcinópolis";1;1;2
"170700 Dianópolis";1;0;1
"170770 Filadélfia";1;0;1
"170930 Guaraí";0;2;2
"170950 Gurupi";11;6;17
"171510 Novo Acordo";0;1;1
"172100 Palmas";56;12;68
"171380 Palmeiras do Tocantins";0;1;1
"171610 Paraíso do Tocantins";5;7;12
"171630 Pau D'Arco";1;0;1
"171660 Peixe";0;1;1
"171820 Porto Nacional";4;3;7
"171830 Praia Norte";1;0;1
"171840 Presidente Kennedy";0;1;1
"171865 Rio da Conceição";1;0;1
"171880 Sampaio";1;0;1
"Total";156;66;222
