 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Tocantins
Período:2022
"Município (Res)";"2022";"Total"
"170035 Aliança do Tocantins";1;1
"170070 Alvorada";1;1
"170100 Ananás";1;1
"170210 Araguaína";71;71
"170215 Araguanã";1;1
"170220 Araguatins";1;1
"170510 Chapada da Natividade";1;1
"170550 Colinas do Tocantins";2;2
"170610 Cristalândia";2;2
"170650 Darcinópolis";1;1
"170700 Dianópolis";3;3
"170710 Divinópolis do Tocantins";1;1
"170950 Gurupi";23;23
"171190 Lagoa da Confusão";1;1
"171200 Lajeado";1;1
"171420 Natividade";1;1
"172100 Palmas";98;98
"171380 Palmeiras do Tocantins";1;1
"171610 Paraíso do Tocantins";7;7
"171650 Pedro Afonso";1;1
"171750 Pium";3;3
"171820 Porto Nacional";5;5
"171855 Riachinho";1;1
"171870 Rio dos Bois";1;1
"172020 São Miguel do Tocantins";1;1
"172065 Silvanópolis";1;1
"172090 Taguatinga";1;1
"172120 Tocantinópolis";1;1
"Total";233;233
