 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Tocantins
Período:2024
"Município (Res)";"1-4";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"170030 Aguiarnópolis";0;0;0;0;0;1;0;0;0;1
"170100 Ananás";0;0;0;1;0;0;0;0;0;1
"170210 Araguaína";0;2;31;25;18;11;9;0;1;97
"170220 Araguatins";0;1;0;1;0;2;0;0;0;4
"170300 Babaçulândia";0;0;0;0;0;0;1;0;0;1
"170310 Barrolândia";0;0;0;1;0;0;0;0;0;1
"170388 Carmolândia";0;0;0;1;0;0;0;0;0;1
"171670 Colméia";0;0;1;1;0;0;0;0;0;2
"170950 Gurupi";0;0;6;5;5;2;2;1;0;21
"171190 Lagoa da Confusão";1;0;2;1;0;1;0;0;0;5
"171320 Miracema do Tocantins";0;0;0;1;0;0;0;0;0;1
"171370 Monte Santo do Tocantins";0;0;0;0;0;0;0;1;0;1
"172100 Palmas";0;0;22;24;24;13;4;3;0;90
"171610 Paraíso do Tocantins";0;0;2;7;2;4;0;1;0;16
"171650 Pedro Afonso";0;0;1;0;0;0;0;0;0;1
"171660 Peixe";0;0;0;1;1;0;0;0;0;2
"171820 Porto Nacional";0;0;3;1;2;1;1;1;0;9
"171886 Santa Fé do Araguaia";0;0;0;0;0;0;0;1;0;1
"172090 Taguatinga";0;0;0;1;1;0;1;1;0;4
"172110 Tocantínia";0;0;0;0;1;0;0;0;0;1
"172120 Tocantinópolis";0;0;1;0;1;0;0;0;0;2
"172210 Xambioá";0;0;0;1;0;0;0;0;0;1
"Total";1;3;69;72;55;35;18;9;1;263
