 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Tocantins
Período:2025
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"170070 Alvorada";0;0;0;0;1;0;0;0;0;1
"170100 Ananás";0;1;0;0;0;0;0;0;0;1
"170130 Aragominas";0;0;0;0;0;0;1;0;0;1
"170210 Araguaína";9;4;4;15;8;5;13;4;5;67
"170255 Augustinópolis";1;0;0;0;0;0;0;0;0;1
"170550 Colinas do Tocantins";1;0;0;0;0;0;0;0;0;1
"170700 Dianópolis";0;1;0;0;0;0;0;0;0;1
"170710 Divinópolis do Tocantins";0;0;0;0;0;0;1;0;0;1
"170930 Guaraí";0;0;0;2;0;0;2;0;0;4
"170950 Gurupi";1;2;0;4;0;1;3;1;2;14
"172100 Palmas";2;6;0;3;2;8;13;4;10;48
"171380 Palmeiras do Tocantins";0;0;0;0;0;0;0;0;1;1
"171610 Paraíso do Tocantins";1;2;0;0;1;3;1;0;3;11
"171750 Pium";0;1;0;0;0;0;0;0;0;1
"171820 Porto Nacional";2;0;0;1;1;2;2;0;0;8
"171875 Rio Sono";0;0;0;0;0;0;1;0;0;1
"172020 São Miguel do Tocantins";0;0;0;0;1;0;0;0;0;1
"Total";17;17;4;25;14;19;37;9;21;163
