 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Tocantins
Período:2025
"Município (Res)";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"170070 Alvorada";0;0;0;1;0;0;0;0;1
"170100 Ananás";0;1;0;0;1;0;0;0;2
"170130 Aragominas";0;1;0;0;0;0;0;0;1
"170210 Araguaína";2;12;19;16;16;8;1;0;74
"170255 Augustinópolis";0;0;1;0;0;0;0;0;1
"170550 Colinas do Tocantins";0;0;0;1;0;0;0;0;1
"170700 Dianópolis";0;0;0;0;0;0;0;1;1
"170710 Divinópolis do Tocantins";0;1;0;0;0;0;0;0;1
"170930 Guaraí";0;2;1;0;1;0;0;0;4
"170950 Gurupi";0;6;4;6;2;3;2;1;24
"172100 Palmas";0;11;21;13;4;1;2;0;52
"171380 Palmeiras do Tocantins";0;1;0;0;0;0;0;0;1
"171610 Paraíso do Tocantins";0;4;0;5;0;2;0;0;11
"171750 Pium";0;0;0;0;1;0;0;0;1
"171820 Porto Nacional";0;3;3;2;1;0;0;0;9
"171875 Rio Sono";0;1;0;0;0;0;0;0;1
"172020 São Miguel do Tocantins";0;1;0;0;0;0;0;0;1
"Total";2;44;49;44;26;14;5;2;186
