 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Tocantins
Período:2025
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Total"
"170070 Alvorada";0;0;0;1;0;1
"170100 Ananás";0;1;1;0;0;2
"170130 Aragominas";0;0;0;1;0;1
"170210 Araguaína";11;4;7;52;0;74
"170255 Augustinópolis";0;0;0;1;0;1
"170550 Colinas do Tocantins";0;0;0;1;0;1
"170700 Dianópolis";0;0;0;1;0;1
"170710 Divinópolis do Tocantins";0;0;0;1;0;1
"170930 Guaraí";1;1;0;2;0;4
"170950 Gurupi";3;1;1;19;0;24
"172100 Palmas";16;3;5;28;0;52
"171380 Palmeiras do Tocantins";0;0;1;0;0;1
"171610 Paraíso do Tocantins";1;1;0;8;1;11
"171750 Pium";0;0;0;1;0;1
"171820 Porto Nacional";0;1;0;8;0;9
"171875 Rio Sono";0;0;0;1;0;1
"172020 São Miguel do Tocantins";0;0;0;1;0;1
"Total";32;12;15;126;1;186
