 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Tocantins
Período:2025
"Município (Res)";"Masculino";"Feminino";"Total"
"170070 Alvorada";1;0;1
"170100 Ananás";2;0;2
"170130 Aragominas";1;0;1
"170210 Araguaína";51;23;74
"170255 Augustinópolis";0;1;1
"170550 Colinas do Tocantins";0;1;1
"170700 Dianópolis";0;1;1
"170710 Divinópolis do Tocantins";1;0;1
"170930 Guaraí";4;0;4
"170950 Gurupi";21;3;24
"172100 Palmas";33;19;52
"171380 Palmeiras do Tocantins";1;0;1
"171610 Paraíso do Tocantins";9;2;11
"171750 Pium";1;0;1
"171820 Porto Nacional";4;5;9
"171875 Rio Sono";1;0;1
"172020 São Miguel do Tocantins";1;0;1
"Total";131;55;186
