 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Ano Diagnóstico
UF Residência: Espírito Santo
Período:2016
"Município (Res)";"2016";"Total"
"320010 Afonso Cláudio";1;1
"320016 Água Doce do Norte";1;1
"320013 Águia Branca";1;1
"320020 Alegre";3;3
"320030 Alfredo Chaves";2;2
"320040 Anchieta";2;2
"320060 Aracruz";10;10
"320090 Barra de São Francisco";3;3
"320120 Cachoeiro de Itapemirim";47;47
"320130 Cariacica";63;63
"320140 Castelo";3;3
"320150 Colatina";20;20
"320160 Conceição da Barra";3;3
"320170 Conceição do Castelo";1;1
"320210 Ecoporanga";1;1
"320220 Fundão";1;1
"320230 Guaçuí";8;8
"320240 Guarapari";26;26
"320245 Ibatiba";1;1
"320260 Iconha";1;1
"320280 Itapemirim";2;2
"320305 Jaguaré";2;2
"320310 Jerônimo Monteiro";1;1
"320313 João Neiva";1;1
"320320 Linhares";11;11
"320330 Mantenópolis";1;1
"320332 Marataízes";4;4
"320335 Marilândia";1;1
"320340 Mimoso do Sul";2;2
"320350 Montanha";3;3
"320360 Mucurici";2;2
"320380 Muqui";6;6
"320390 Nova Venécia";1;1
"320405 Pedro Canário";2;2
"320410 Pinheiros";2;2
"320435 Rio Bananal";3;3
"320440 Rio Novo do Sul";1;1
"320455 Santa Maria de Jetibá";2;2
"320460 Santa Teresa";1;1
"320465 São Domingos do Norte";1;1
"320480 São José do Calçado";1;1
"320490 São Mateus";44;44
"320500 Serra";100;100
"320501 Sooretama";2;2
"320503 Vargem Alta";2;2
"320510 Viana";12;12
"320517 Vila Valério";1;1
"320520 Vila Velha";111;111
"320530 Vitória";142;142
"Total";662;662
