 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Espírito Santo
Período:2017
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"320020 Alegre";2;0;0;0;0;0;2
"320040 Anchieta";1;0;0;1;0;0;2
"320050 Apiacá";0;0;0;1;0;0;1
"320060 Aracruz";2;1;0;12;0;0;15
"320080 Baixo Guandu";1;0;0;0;0;1;2
"320090 Barra de São Francisco";3;0;0;1;0;0;4
"320120 Cachoeiro de Itapemirim";17;5;0;18;0;1;41
"320130 Cariacica";17;2;1;35;1;1;57
"320140 Castelo";1;0;0;1;0;0;2
"320150 Colatina";6;1;0;12;0;0;19
"320160 Conceição da Barra";0;0;0;0;0;2;2
"320190 Domingos Martins";1;0;0;0;0;0;1
"320200 Dores do Rio Preto";1;0;0;1;0;0;2
"320210 Ecoporanga";0;0;0;1;0;0;1
"320220 Fundão";1;0;0;0;0;0;1
"320230 Guaçuí";6;3;0;1;0;1;11
"320240 Guarapari";2;1;2;18;0;0;23
"320245 Ibatiba";1;0;0;2;0;0;3
"320260 Iconha";1;0;0;0;0;0;1
"320265 Irupi";0;0;0;1;0;0;1
"320270 Itaguaçu";0;1;0;0;0;0;1
"320280 Itapemirim";0;1;0;0;0;0;1
"320310 Jerônimo Monteiro";1;0;0;0;0;0;1
"320313 João Neiva";0;0;0;1;0;0;1
"320320 Linhares";7;0;0;11;0;0;18
"320332 Marataízes";2;0;0;0;0;0;2
"320334 Marechal Floriano";0;1;0;1;0;0;2
"320350 Montanha";0;0;0;1;0;1;2
"320360 Mucurici";0;0;0;1;0;0;1
"320370 Muniz Freire";1;0;0;0;0;0;1
"320380 Muqui";1;1;0;0;0;0;2
"320390 Nova Venécia";7;1;3;4;0;0;15
"320410 Pinheiros";1;1;0;3;0;0;5
"320420 Piúma";0;0;0;1;0;0;1
"320430 Presidente Kennedy";1;0;0;0;0;0;1
"320440 Rio Novo do Sul";0;0;0;2;0;0;2
"320455 Santa Maria de Jetibá";2;0;0;0;0;0;2
"320460 Santa Teresa";1;0;0;0;0;0;1
"320470 São Gabriel da Palha";0;0;0;1;0;0;1
"320480 São José do Calçado";0;2;0;0;0;1;3
"320490 São Mateus";11;4;1;20;0;3;39
"320500 Serra";29;8;0;66;0;5;108
"320501 Sooretama";0;1;0;1;0;0;2
"320506 Venda Nova do Imigrante";0;0;0;2;0;0;2
"320510 Viana";4;2;1;5;0;0;12
"320517 Vila Valério";0;1;0;0;0;0;1
"320520 Vila Velha";29;7;0;55;1;4;96
"320530 Vitória";42;13;1;66;1;1;124
"320000 Município ignorado - ES";0;0;0;1;0;0;1
"Total";202;57;9;347;3;21;639
