 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
UF Residência: Espírito Santo
Período:2018
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"320010 Afonso Cláudio";0;0;0;0;0;0;1;0;0;1
"320040 Anchieta";0;0;0;0;0;1;0;0;0;1
"320050 Apiacá";0;0;0;1;0;0;0;0;0;1
"320060 Aracruz";0;2;1;2;0;2;3;0;0;10
"320090 Barra de São Francisco";0;0;0;0;1;0;1;0;0;2
"320110 Bom Jesus do Norte";0;0;0;0;0;1;0;0;0;1
"320120 Cachoeiro de Itapemirim";0;2;3;8;11;3;12;2;3;44
"320130 Cariacica";3;1;0;10;2;7;3;0;1;27
"320140 Castelo";0;0;1;0;0;0;1;2;0;4
"320150 Colatina";0;4;2;4;0;7;8;0;1;26
"320160 Conceição da Barra";1;1;0;0;0;0;0;0;0;2
"320190 Domingos Martins";0;0;0;1;0;0;0;0;1;2
"320210 Ecoporanga";1;0;0;0;0;0;0;0;0;1
"320220 Fundão";0;0;0;0;0;0;0;1;0;1
"320230 Guaçuí";0;1;0;5;0;1;0;0;1;8
"320240 Guarapari";2;1;1;3;1;2;4;0;2;16
"320245 Ibatiba";0;0;1;0;0;0;0;0;0;1
"320260 Iconha";0;0;0;1;0;0;0;0;0;1
"320270 Itaguaçu";0;1;0;0;0;0;0;0;0;1
"320280 Itapemirim";0;0;1;0;1;1;1;0;0;4
"320290 Itarana";0;0;0;0;0;0;1;0;0;1
"320300 Iúna";0;0;0;0;0;0;1;0;0;1
"320305 Jaguaré";1;1;0;1;0;0;0;0;0;3
"320320 Linhares";0;3;3;3;0;3;7;0;0;19
"320332 Marataízes";0;0;0;0;0;1;0;0;0;1
"320350 Montanha";0;0;0;0;0;0;1;0;0;1
"320380 Muqui";0;0;1;1;0;0;0;0;0;2
"320390 Nova Venécia";0;0;0;1;0;1;4;1;3;10
"320410 Pinheiros";1;1;0;0;0;0;0;0;0;2
"320420 Piúma";0;0;1;0;0;1;1;0;0;3
"320425 Ponto Belo";0;1;0;0;0;0;0;0;0;1
"320435 Rio Bananal";0;0;0;1;0;0;0;0;0;1
"320450 Santa Leopoldina";0;1;0;0;0;0;0;0;0;1
"320460 Santa Teresa";1;0;0;0;0;0;0;0;0;1
"320470 São Gabriel da Palha";0;0;0;0;0;0;0;0;1;1
"320490 São Mateus";1;4;1;10;1;2;5;0;6;30
"320495 São Roque do Canaã";0;0;0;1;0;0;0;0;0;1
"320500 Serra";4;4;1;23;2;9;30;7;10;90
"320501 Sooretama";1;0;0;0;0;0;0;0;0;1
"320510 Viana";0;0;1;2;1;0;0;0;0;4
"320520 Vila Velha";0;3;1;7;1;7;22;5;10;56
"320530 Vitória";4;3;2;8;4;5;20;10;14;70
"Total";20;34;21;93;25;54;126;28;53;454
