 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Fx. Etária(13)
UF Residência: Espírito Santo
Período:2018
"Município (Res)";"< 1 ano";"1-4";"10-14";"15-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80 e mais";"Total"
"320010 Afonso Cláudio";0;0;0;0;1;0;0;1;0;0;0;2
"320020 Alegre";0;0;0;0;1;0;0;0;0;0;0;1
"320035 Alto Rio Novo";0;0;0;0;0;1;0;0;0;0;0;1
"320040 Anchieta";0;0;0;0;0;0;0;1;0;0;0;1
"320050 Apiacá";0;0;0;0;0;1;0;0;0;0;0;1
"320060 Aracruz";0;0;0;0;3;2;1;5;1;0;0;12
"320090 Barra de São Francisco";0;0;0;0;1;0;0;1;0;0;0;2
"320110 Bom Jesus do Norte";0;0;0;0;0;0;0;1;0;0;0;1
"320120 Cachoeiro de Itapemirim";1;0;0;0;11;15;14;6;6;1;0;54
"320130 Cariacica";0;0;0;1;16;15;10;11;8;0;0;61
"320140 Castelo";0;0;0;0;2;3;0;1;0;0;0;6
"320150 Colatina";0;0;0;0;6;8;8;2;3;0;0;27
"320160 Conceição da Barra";0;1;0;0;1;0;2;0;0;0;0;4
"320190 Domingos Martins";0;0;0;0;0;2;0;0;0;0;0;2
"320210 Ecoporanga";0;0;0;0;0;0;0;1;0;0;1;2
"320220 Fundão";0;0;0;0;0;1;0;0;0;0;0;1
"320230 Guaçuí";0;0;0;0;1;6;2;1;1;0;0;11
"320240 Guarapari";0;0;0;1;1;9;7;5;1;0;0;24
"320245 Ibatiba";0;0;0;0;1;0;0;0;0;0;0;1
"320260 Iconha";0;0;0;0;1;0;0;0;0;0;0;1
"320270 Itaguaçu";0;0;0;0;0;0;0;1;0;0;0;1
"320280 Itapemirim";0;0;0;0;1;1;2;0;1;1;0;6
"320290 Itarana";0;0;0;0;1;0;0;0;0;0;0;1
"320300 Iúna";0;0;0;0;1;1;0;0;0;0;0;2
"320305 Jaguaré";0;0;0;0;0;1;2;0;1;0;0;4
"320310 Jerônimo Monteiro";0;0;0;0;0;1;0;0;0;0;0;1
"320316 Laranja da Terra";0;0;0;0;0;0;0;0;1;0;0;1
"320320 Linhares";0;0;1;1;8;8;6;1;1;0;0;26
"320332 Marataízes";0;0;0;0;1;1;1;0;0;0;0;3
"320350 Montanha";0;0;0;0;0;0;1;0;0;0;0;1
"320380 Muqui";0;0;0;0;0;1;1;0;0;0;0;2
"320390 Nova Venécia";0;0;0;0;3;5;2;1;1;0;0;12
"320405 Pedro Canário";0;0;0;0;0;1;0;0;0;0;0;1
"320410 Pinheiros";0;0;0;0;0;2;1;2;0;0;0;5
"320420 Piúma";0;0;0;0;1;0;2;0;0;0;0;3
"320425 Ponto Belo";0;0;0;0;0;1;0;0;0;0;0;1
"320435 Rio Bananal";0;0;0;0;1;0;0;0;0;0;0;1
"320450 Santa Leopoldina";0;0;0;0;0;0;1;0;0;0;0;1
"320455 Santa Maria de Jetibá";0;0;0;0;0;0;1;0;0;0;0;1
"320460 Santa Teresa";0;0;0;0;0;0;0;0;1;0;0;1
"320470 São Gabriel da Palha";0;0;0;0;0;0;0;1;0;0;0;1
"320490 São Mateus";0;0;0;0;9;18;12;3;2;0;0;44
"320495 São Roque do Canaã";0;0;0;0;0;0;1;0;0;0;0;1
"320500 Serra";1;0;1;3;31;35;22;11;7;0;0;111
"320501 Sooretama";0;0;0;0;0;1;1;0;1;0;0;3
"320510 Viana";0;0;0;0;1;4;3;2;1;0;0;11
"320520 Vila Velha";0;0;0;1;36;38;14;13;4;0;0;106
"320530 Vitória";0;0;0;1;29;33;21;9;5;2;1;101
"Total";2;1;2;8;169;215;138;80;46;4;2;667
