 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Raça/cor
UF Residência: Espírito Santo
Período:2020
"Município (Res)";"Branca";"Preta";"Amarela";"Parda";"Ignorado";"Total"
"320030 Alfredo Chaves";0;0;0;1;0;1
"320060 Aracruz";4;1;2;5;0;12
"320070 Atilio Vivacqua";1;0;0;0;0;1
"320080 Baixo Guandu";0;0;0;0;1;1
"320090 Barra de São Francisco";1;0;1;2;0;4
"320100 Boa Esperança";0;1;0;0;0;1
"320120 Cachoeiro de Itapemirim";18;3;1;16;0;38
"320130 Cariacica";7;3;3;30;3;46
"320150 Colatina";12;1;1;13;1;28
"320160 Conceição da Barra";3;2;0;2;1;8
"320170 Conceição do Castelo";1;0;0;0;0;1
"320210 Ecoporanga";0;0;0;1;1;2
"320220 Fundão";1;0;0;0;0;1
"320230 Guaçuí";4;4;0;3;0;11
"320240 Guarapari";3;0;1;15;0;19
"320265 Irupi";0;0;0;0;1;1
"320305 Jaguaré";0;0;0;1;0;1
"320320 Linhares";3;2;2;11;0;18
"320332 Marataízes";0;0;1;0;0;1
"320340 Mimoso do Sul";0;0;0;1;0;1
"320350 Montanha";0;0;0;3;0;3
"320360 Mucurici";0;0;0;1;0;1
"320390 Nova Venécia";5;1;1;8;0;15
"320405 Pedro Canário";2;0;0;2;1;5
"320410 Pinheiros";0;2;1;0;0;3
"320435 Rio Bananal";0;1;0;0;0;1
"320455 Santa Maria de Jetibá";1;1;0;3;0;5
"320470 São Gabriel da Palha";1;0;0;2;0;3
"320480 São José do Calçado";1;0;0;0;0;1
"320490 São Mateus";5;3;1;16;2;27
"320500 Serra";17;7;4;69;0;97
"320501 Sooretama";1;0;0;0;0;1
"320506 Venda Nova do Imigrante";1;0;0;0;0;1
"320510 Viana";0;2;0;7;1;10
"320520 Vila Velha";22;9;8;53;2;94
"320530 Vitória";27;16;4;45;0;92
"320000 Município ignorado - ES";0;0;0;0;1;1
"Total";141;59;31;310;15;556
